"v (km/s)" BF[g(v)]
-1003.98 0.000551221
-979.531 0.000449806
-955.082 0.000498689
-930.63 0.000605388
-906.177 0.000744433
-881.722 0.000847572
-857.265 0.000772287
-832.805 0.000512905
-808.344 0.000282365
-783.881 0.000184494
-759.416 0.000203444
-734.949 0.000386738
-710.479 0.000920667
-686.008 0.00180248
-661.535 0.00217832
-637.06 0.0014551
-612.582 0.000712572
-588.103 0.000260442
-563.622 0.000113469
-539.139 9.62595e-05
-514.653 0.000172879
-490.166 0.000449489
-465.677 0.00114467
-441.186 0.00234333
-416.692 0.00375006
-392.197 0.00507974
-367.7 0.00648783
-343.2 0.00860992
-318.699 0.0124655
-294.196 0.018644
-269.691 0.0261745
-245.183 0.0331067
-220.674 0.038044
-196.163 0.04124
-171.649 0.044576
-147.134 0.0498455
-122.617 0.0567036
-98.0974 0.0627529
-73.5761 0.0654256
-49.0527 0.0637692
-24.5274 0.0592882
-2.66269e-10 0.054973
24.5294 0.0525131
49.0607 0.0505364
73.5941 0.0463643
98.1295 0.0387071
122.667 0.0292128
147.206 0.0214824
171.748 0.0175307
196.291 0.0159902
220.837 0.0140245
245.384 0.0100947
269.933 0.00540677
294.485 0.00241228
319.038 0.00132574
343.594 0.00123276
368.151 0.00186358
392.711 0.00314407
417.272 0.00388617
441.836 0.00269263
466.401 0.000893175
490.969 0.000153845
515.538 2.37924e-05
540.11 1.0112e-05
564.683 3.00945e-05
589.259 0.000376759
613.837 0.00319725
638.416 0.0020002
662.998 0.001253
687.581 0.000850398
712.167 0.000495448
736.755 0.000243806
761.344 0.000120461
785.936 8.68035e-05
810.53 0.000122192
835.125 0.000290217
859.723 0.000734689
884.323 0.00117784
908.924 0.000758915
933.528 0.000107495
958.134 6.67832e-07
982.742 1.26293e-10
1007.35 4.99026e-07
