"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4051.13 0.611104 0.289534 0.0 0.868656
4051.46 0.613508 0.329918 0.0 0.86828
4051.79 0.61469 0.371024 0.0 0.867904
4052.13 0.614383 0.409886 0.0 0.867528
4052.46 0.61292 0.444197 0.0 0.867152
4052.79 0.610686 0.473436 0.0 0.866777
4053.12 0.607912 0.498757 0.0 0.866401
4053.45 0.6047 0.521576 0.0 0.866026
4053.78 0.601153 0.542084 0.0 0.865652
4054.12 0.597408 0.559168 0.0 0.865278
4054.45 0.593612 0.571538 0.0 0.864904
4054.78 0.590075 0.578863 0.0 0.864531
4055.11 0.587528 0.582152 0.0 0.864158
4055.44 0.586742 0.583073 0.0 0.863787
4055.77 0.587443 0.582887 0.0 0.863416
4056.11 0.588108 0.582143 0.0 0.863045
4056.44 0.587286 0.580938 0.0 0.862676
4056.77 0.584962 0.57927 0.0 0.862307
4057.1 0.581934 0.577347 0.0 0.86194
4057.43 0.578898 0.575588 0.0 0.861573
4057.77 0.576135 0.57433 0.0 0.861208
4058.1 0.573819 0.573713 0.0 0.860843
4058.43 0.57216 0.573727 0.0 0.86048
4058.76 0.571417 0.574297 0.0 0.860118
4059.09 0.571816 0.575388 0.0 0.859757
4059.43 0.572945 0.576915 4.64043 0.859398
4059.76 0.573875 0.578581 4.6441 0.85904
4060.09 0.573799 0.579387 4.65527 0.858684
4060.42 0.572687 0.578798 4.66756 0.858329
4060.76 0.570796 0.576933 4.6805 0.857975
4061.09 0.568455 0.573987 4.6965 0.857624
4061.42 0.566181 0.570102 4.71258 0.857274
4061.75 0.564493 0.565473 4.72361 0.856925
4062.08 0.563073 0.560382 4.72857 0.856579
4062.42 0.56068 0.555115 4.73354 0.856234
4062.75 0.556274 0.549865 4.76778 0.855891
4063.08 0.551037 0.544846 4.81237 0.855551
4063.41 0.547297 0.540351 4.85589 0.855212
4063.75 0.546573 0.536679 4.86063 0.854875
4064.08 0.547483 0.534094 4.86537 0.854541
4064.41 0.548019 0.532859 4.8722 0.854208
4064.74 0.547189 0.532617 4.88318 0.853878
4065.08 0.545561 0.533774 4.89421 0.85355
4065.41 0.543843 0.536294 4.89859 0.853225
4065.74 0.542773 0.540073 4.89904 0.852902
4066.07 0.543115 0.544941 4.89949 0.852581
4066.41 0.545501 0.550666 4.87324 0.852263
4066.74 0.549887 0.556975 4.845 0.851948
4067.07 0.55602 0.563563 4.81458 0.851635
4067.41 0.563376 0.570106 4.77587 0.851325
4067.74 0.570866 0.576287 4.73762 0.851018
4068.07 0.577345 0.581816 4.70553 0.850713
4068.4 0.5821 0.586442 4.67911 0.850411
4068.74 0.584833 0.589972 4.65291 0.850113
4069.07 0.585382 0.592292 4.64321 0.849817
4069.4 0.584458 0.593384 4.63736 0.849524
4069.74 0.583151 0.593329 4.63311 0.849235
4070.07 0.582343 0.592296 4.64212 0.848948
4070.4 0.582296 0.590522 4.65116 0.848665
4070.73 0.583154 0.588284 4.64956 0.848385
4071.07 0.58468 0.585862 4.63232 0.848108
4071.4 0.586155 0.583504 4.61517 0.847835
4071.73 0.58688 0.581411 4.60627 0.847565
4072.07 0.586732 0.579716 4.60085 0.847298
4072.4 0.585924 0.578479 4.59544 0.847035
4072.73 0.584664 0.577671 4.60048 0.846776
4073.07 0.583112 0.577191 4.60554 0.84652
4073.4 0.58142 0.576881 4.61057 0.846268
4073.73 0.579808 0.576552 4.61556 0.84602
4074.07 0.578609 0.576013 4.62055 0.845776
4074.4 0.578126 0.575108 4.62504 0.845535
4074.73 0.578071 0.573739 4.62919 0.845299
4075.07 0.577695 0.571877 4.63335 0.845066
4075.4 0.576326 0.569558 4.65284 0.844838
4075.73 0.573761 0.566897 4.67417 0.844613
4076.07 0.569958 0.564075 4.69849 0.844393
4076.4 0.565303 0.561331 4.73439 0.844177
4076.73 0.561136 0.558946 4.77071 0.843965
4077.07 0.558882 0.55722 4.78916 0.843758
4077.4 0.559045 0.556438 4.78958 0.843555
4077.73 0.561204 0.556833 4.79001 0.843356
4078.07 0.564875 0.558561 4.76056 0.843162
4078.4 0.569388 0.561681 4.72423 0.842972
4078.74 0.573988 0.566151 4.68915 0.842787
4079.07 0.578199 0.571844 4.66139 0.842607
4079.4 0.582345 0.578554 4.63387 0.842432
4079.74 0.58689 0.586018 4.60054 0.842261
4080.07 0.592109 0.593926 4.55902 0.842095
4080.4 0.598038 0.60194 4.51805 0.841934
4080.74 0.60466 0.609706 4.47307 0.841777
4081.07 0.611599 0.616879 4.42696 0.841626
4081.41 0.618273 0.623152 4.38191 0.84148
4081.74 0.62415 0.628292 4.35581 0.841339
4082.07 0.62888 0.632173 4.32993 0.841203
4082.41 0.632167 0.634797 4.30949 0.841073
4082.74 0.63413 0.63629 4.29999 0.840948
4083.08 0.635552 0.63688 4.29053 0.840828
4083.41 0.63725 0.636864 4.28017 0.840713
