"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4051.13 0.679224 0.307683 0.0 0.831391
4051.46 0.680922 0.356916 0.0 0.831744
4051.79 0.678503 0.401726 0.0 0.832098
4052.13 0.671541 0.444572 0.0 0.832451
4052.46 0.662474 0.488055 0.0 0.832805
4052.79 0.653992 0.532471 0.0 0.833158
4053.12 0.647978 0.574531 0.0 0.833511
4053.45 0.645647 0.608706 0.0 0.833864
4053.78 0.647637 0.631271 0.0 0.834218
4054.12 0.651154 0.640046 0.0 0.834571
4054.45 0.652092 0.639143 0.0 0.834924
4054.78 0.647756 0.635337 0.0 0.835277
4055.11 0.63917 0.631856 0.0 0.83563
4055.44 0.628034 0.629341 0.0 0.835982
4055.77 0.618393 0.627946 0.0 0.836335
4056.11 0.617104 0.626443 0.0 0.836688
4056.44 0.629685 0.623636 0.0 0.83704
4056.77 0.646964 0.620103 0.0 0.837392
4057.1 0.651502 0.617277 0.0 0.837744
4057.43 0.632406 0.615644 0.0 0.838097
4057.77 0.604875 0.615468 0.0 0.838448
4058.1 0.59037 0.616782 0.0 0.8388
4058.43 0.59788 0.619413 0.0 0.839152
4058.76 0.614949 0.62307 0.0 0.839503
4059.09 0.627611 0.627382 0.0 0.839854
4059.43 0.631593 0.631924 0.217367 0.840205
4059.76 0.630388 0.636227 0.217324 0.840556
4060.09 0.627517 0.639764 0.217433 0.840906
4060.42 0.625362 0.641943 0.217564 0.841257
4060.76 0.625886 0.642349 0.217709 0.841607
4061.09 0.629199 0.641247 0.217927 0.841957
4061.42 0.630846 0.63825 0.218144 0.842306
4061.75 0.62583 0.632507 0.218716 0.842656
4062.08 0.613417 0.624187 0.219713 0.843005
4062.42 0.59764 0.614552 0.220716 0.843354
4062.75 0.582895 0.6049 0.22155 0.843702
4063.08 0.574551 0.596236 0.222329 0.84405
4063.41 0.57848 0.589183 0.222995 0.844398
4063.75 0.596565 0.584077 0.220984 0.844746
4064.08 0.61658 0.581052 0.218999 0.845093
4064.41 0.623368 0.579994 0.217406 0.84544
4064.74 0.612892 0.58072 0.21655 0.845787
4065.08 0.598297 0.583116 0.215699 0.846133
4065.41 0.593315 0.587165 0.214169 0.846479
4065.74 0.599747 0.592878 0.212255 0.846825
4066.07 0.610877 0.600194 0.210367 0.84717
4066.41 0.620908 0.608891 0.210035 0.847515
4066.74 0.629645 0.618554 0.209833 0.84786
4067.07 0.638644 0.628619 0.209592 0.848204
4067.41 0.648621 0.638467 0.209213 0.848548
4067.74 0.658501 0.647511 0.208836 0.848891
4068.07 0.666957 0.655267 0.208581 0.849234
4068.4 0.672182 0.661379 0.208442 0.849577
