"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4051.13 0.595652 0.290154 0.0 0.881144
4051.46 0.598052 0.316007 0.0 0.880546
4051.79 0.59962 0.341877 0.0 0.879948
4052.13 0.600235 0.368913 0.0 0.87935
4052.46 0.600294 0.397119 0.0 0.878753
4052.79 0.600232 0.425287 0.0 0.878155
4053.12 0.600182 0.451589 0.0 0.877558
4053.45 0.60003 0.474575 0.0 0.876962
4053.78 0.599655 0.493883 0.0 0.876366
4054.12 0.598952 0.510089 0.0 0.87577
4054.45 0.597818 0.523963 0.0 0.875176
4054.78 0.596183 0.535924 0.0 0.874581
4055.11 0.594061 0.545978 0.0 0.873988
4055.44 0.591482 0.553958 0.0 0.873396
4055.77 0.588542 0.559839 0.0 0.872804
4056.11 0.585417 0.563864 0.0 0.872214
4056.44 0.582279 0.566455 0.0 0.871625
4056.77 0.579218 0.568047 0.0 0.871037
4057.1 0.576278 0.569008 0.0 0.87045
4057.43 0.573547 0.569654 0.0 0.869864
4057.77 0.571296 0.570222 0.0 0.86928
4058.1 0.569835 0.570826 0.0 0.868698
4058.43 0.569135 0.571404 0.0 0.868117
4058.76 0.568585 0.571691 0.0 0.867537
4059.09 0.567536 0.571346 0.0 0.866959
4059.43 0.56568 0.570208 7.23721 0.866383
4059.76 0.562976 0.568435 7.26594 0.865809
4060.09 0.559526 0.566222 7.30216 0.865237
4060.42 0.556204 0.563723 7.3397 0.864666
4060.76 0.554164 0.561091 7.37128 0.864098
4061.09 0.55396 0.558565 7.37143 0.863532
4061.42 0.554665 0.556452 7.37159 0.862968
4061.75 0.555152 0.554749 7.38002 0.862407
4062.08 0.554935 0.552868 7.39834 0.861847
4062.42 0.554244 0.550376 7.41673 0.861291
4062.75 0.55334 0.547585 7.4366 0.860736
4063.08 0.552388 0.54496 7.45703 0.860185
4063.41 0.551506 0.542701 7.47706 0.859635
4063.75 0.550735 0.540868 7.48628 0.859089
4064.08 0.549844 0.539759 7.49552 0.858545
4064.41 0.54855 0.543337 7.50831 0.858005
4064.74 0.546945 0.542842 7.52819 0.857467
4065.08 0.545703 0.542933 7.54816 0.856932
4065.41 0.545497 0.543733 7.55592 0.856401
4065.74 0.54632 0.545339 7.55644 0.855872
4066.07 0.547682 0.54776 7.55696 0.855347
4066.41 0.549142 0.550878 7.54224 0.854825
4066.74 0.55058 0.554454 7.52629 0.854306
4067.07 0.551974 0.558193 7.50795 0.853791
4067.41 0.55353 0.561814 7.48097 0.85328
4067.74 0.55593 0.565108 7.45413 0.852772
