"v (km/s)" BF[g(v)]
-1003.98 0.00950169
-979.531 0.000821888
-955.082 9.77585e-05
-930.63 4.48255e-05
-906.177 8.01931e-05
-881.722 0.000354888
-857.265 0.00151574
-832.805 0.00350183
-808.344 0.00420761
-783.881 0.00319847
-759.416 0.00199838
-734.949 0.00137099
-710.479 0.00131736
-686.008 0.00193367
-661.535 0.00426586
-637.06 0.00934477
-612.582 0.00928629
-588.103 0.00752714
-563.622 0.00658982
-539.139 0.00704097
-514.653 0.0091583
-490.166 0.0126618
-465.677 0.0159683
-441.186 0.017369
-416.692 0.0169055
-392.197 0.0161132
-367.7 0.0165527
-343.2 0.0189684
-318.699 0.0228803
-294.196 0.02653
-269.691 0.0283259
-245.183 0.0284128
-220.674 0.0282299
-196.163 0.0289639
-171.649 0.0307051
-147.134 0.0325949
-122.617 0.0336252
-98.0974 0.0335216
-73.5761 0.0328743
-49.0527 0.032371
-24.5274 0.0320293
-2.66269e-10 0.0314108
24.5294 0.0302951
49.0607 0.0289094
73.5941 0.0277538
98.1295 0.027215
122.667 0.0271164
147.206 0.0266535
171.748 0.0249716
196.291 0.0219448
220.837 0.0184239
245.384 0.0156213
269.933 0.0142331
294.485 0.0140601
319.038 0.0142608
343.594 0.013927
368.151 0.0126058
392.711 0.01048
417.272 0.00815853
441.836 0.00621901
466.401 0.00490584
490.969 0.00415322
515.538 0.00372597
540.11 0.00343407
564.683 0.00334602
589.259 0.00401988
613.837 0.00558918
638.416 0.000949584
662.998 0.000450415
687.581 0.000510849
712.167 0.000576335
736.755 0.000469687
761.344 0.000285901
785.936 0.000192228
810.53 0.000205776
835.125 0.000295409
859.723 0.000404324
884.323 0.000455982
908.924 0.000436201
933.528 0.000453248
958.134 0.000594998
982.742 0.000768238
1007.35 0.000767155
