GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,10.02,11.53,2.94,6.93,3.34,3.34,2.53,3.05,2.62,88.44,5.52,16.29,96.92,3.08,6.29
3269,10.08,11.56,0.00,6.49,3.72,2.79,1.92,3.72,2.24,73.53,17.08,33.96,98.28,1.72,18.47
3291,10.02,11.53,0.00,6.94,3.05,3.27,2.39,3.42,2.53,60.03,24.52,26.96,91.81,8.19,22.84
3352,10.72,12.30,5.26,5.85,4.71,1.87,2.67,4.42,2.82,97.14,2.39,18.16,99.76,0.24,3.59
3367,10.75,12.36,5.26,5.75,4.40,2.19,1.87,5.12,2.17,90.82,6.50,31.95,99.73,0.27,15.78
3414,10.83,12.54,0.00,7.93,2.28,3.86,4.05,4.18,4.08,88.61,9.49,20.17,98.07,1.93,11.17
3484,10.21,11.65,0.00,5.91,3.06,2.24,1.50,5.10,2.04,86.52,9.95,28.42,99.83,0.17,19.49
3534,9.77,11.40,1.08,5.61,3.28,2.30,1.08,4.21,1.64,74.02,14.56,27.28,98.82,1.18,23.49
3565,9.39,11.22,4.23,6.77,4.15,2.89,1.90,5.08,2.00,55.01,24.28,33.75,93.51,6.49,40.93
3639,10.70,12.26,4.76,6.81,3.60,2.72,3.13,4.81,3.28,86.24,10.53,29.47,98.70,1.30,20.68
3664,10.92,12.76,0.00,7.12,2.37,3.07,4.08,3.69,4.10,77.16,19.28,18.74,97.15,2.85,23.94
