GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.80,11.51,2.94,6.93,3.15,3.34,2.53,2.89,2.62,88.44,5.52,14.43,96.92,3.08,6.10
3269,9.86,11.54,0.00,5.59,3.30,1.88,1.16,3.97,1.56,79.89,10.71,23.90,99.76,0.24,16.43
3291,9.80,11.51,0.00,6.85,2.49,3.22,2.27,3.09,2.42,60.80,23.99,22.86,92.54,7.46,19.96
3352,10.50,12.04,3.57,8.87,2.42,4.07,3.90,3.58,4.02,92.10,6.73,22.66,99.61,0.39,3.67
3367,10.53,12.08,4.76,5.04,5.69,1.63,0.48,6.54,1.25,93.80,3.74,41.10,100.00,0.00,16.23
3414,10.61,12.20,0.00,8.29,2.03,2.49,4.36,3.20,3.50,85.99,9.47,18.64,97.80,2.19,7.41
3484,9.99,11.61,0.00,5.95,3.23,2.27,1.56,5.41,1.92,86.24,10.23,30.61,99.78,0.22,22.69
3534,9.55,11.39,1.08,5.61,3.28,2.30,1.08,4.21,1.64,74.02,14.56,27.28,98.82,1.18,23.49
3565,9.17,11.22,4.29,6.70,3.33,2.83,1.85,4.78,1.95,55.61,23.82,27.16,93.84,6.16,38.33
3639,10.48,12.01,3.23,5.82,3.40,2.32,0.18,5.31,0.48,91.82,6.28,23.64,100.01,0.01,6.93
3664,10.70,12.36,0.00,7.66,2.43,2.61,4.00,2.96,4.02,73.49,18.61,19.99,97.43,2.57,18.13
