GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.92,11.52,2.94,6.93,3.15,3.34,2.53,2.89,2.62,88.44,5.52,14.43,96.92,3.08,6.10
3269,9.98,11.55,0.00,6.49,3.72,2.79,1.92,3.72,2.24,73.53,17.08,33.96,98.28,1.72,18.47
3291,9.92,11.52,0.00,6.85,2.49,3.22,2.27,3.09,2.42,60.80,23.99,22.86,92.54,7.46,19.96
3352,10.62,12.17,4.00,6.20,5.02,2.06,2.67,4.43,2.88,96.80,2.69,26.46,99.76,0.24,3.60
3367,10.65,12.22,4.76,5.75,4.98,2.10,1.87,5.29,2.06,90.81,6.36,38.11,99.73,0.27,16.83
3414,10.73,12.37,0.00,8.65,1.79,3.92,4.82,2.94,3.74,83.37,13.97,17.11,97.22,2.76,7.79
3484,10.11,11.63,0.00,5.95,3.07,2.21,1.56,5.13,1.97,86.24,10.07,28.70,99.78,0.22,20.18
3534,9.67,11.39,1.08,5.61,3.28,2.30,1.08,4.21,1.64,74.02,14.56,27.28,98.82,1.18,23.49
3565,9.29,11.22,4.29,6.70,3.33,2.83,1.85,4.78,1.95,55.61,23.82,27.16,93.84,6.16,38.33
3639,10.60,12.13,3.23,5.91,3.37,2.38,2.06,3.80,2.35,91.40,6.67,23.61,99.66,0.34,7.78
3664,10.82,12.57,0.00,7.21,2.76,3.10,3.90,3.36,3.93,76.45,19.79,21.93,97.77,2.23,20.77
