GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,10.02,11.53,0.99,7.10,3.38,3.06,2.99,3.59,3.00,88.18,4.79,18.18,95.61,4.39,6.30
3269,10.08,11.56,0.00,6.29,3.04,2.63,2.45,4.03,2.76,74.95,15.85,24.00,95.74,4.26,22.43
3291,10.02,11.53,0.85,7.12,3.20,3.09,2.94,3.58,3.02,58.51,23.84,27.95,88.40,11.60,25.23
3352,10.72,12.30,2.38,7.00,3.71,2.73,4.13,3.25,4.07,96.26,3.19,18.82,99.53,0.47,3.59
3367,10.75,12.36,3.57,7.53,3.94,4.29,2.22,5.54,3.45,80.55,17.25,34.25,99.30,0.70,20.36
3414,10.83,12.54,0.00,8.11,2.07,3.60,3.90,4.48,3.84,87.30,10.34,18.58,98.21,1.79,12.43
3484,10.21,11.65,0.00,6.19,3.17,2.91,1.80,4.77,2.11,84.37,12.96,30.83,99.70,0.30,18.26
3534,9.77,11.40,3.01,6.01,3.46,2.64,0.89,4.86,1.56,71.41,16.83,29.44,99.27,0.73,26.30
3565,9.39,11.22,2.66,7.02,3.01,3.05,2.29,4.00,2.37,52.99,25.75,24.55,91.02,8.98,33.02
3639,10.70,12.26,4.00,7.92,1.86,4.35,4.72,3.30,4.81,77.90,20.11,14.59,95.22,4.78,17.80
3664,10.92,12.76,0.00,8.17,2.27,3.47,4.40,4.13,4.18,69.92,23.87,19.54,96.10,3.90,28.44
