GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.80,11.51,0.99,7.10,3.28,3.06,3.06,3.74,3.06,88.18,4.79,17.13,95.42,4.58,6.45
3269,9.86,11.54,0.00,6.25,3.02,2.67,2.42,4.20,2.73,75.23,15.92,23.63,95.90,4.10,23.49
3291,9.80,11.51,0.85,7.18,3.06,3.11,3.20,3.48,3.25,58.00,24.12,26.81,86.80,13.20,24.93
3352,10.50,12.04,1.75,9.17,2.13,4.56,4.66,3.76,4.50,90.24,8.82,21.18,99.18,0.82,5.33
3367,10.53,12.08,1.92,7.89,2.86,4.76,4.73,2.84,5.45,78.13,19.83,25.65,94.76,5.24,14.56
3414,10.61,12.20,0.00,8.17,2.46,3.43,4.68,3.88,4.58,86.86,10.47,22.40,97.42,2.58,13.07
3484,9.99,11.61,0.00,6.25,3.18,2.97,1.82,4.92,2.10,83.90,13.42,31.30,99.69,0.31,19.70
3534,9.55,11.39,2.94,6.05,3.35,2.70,0.98,4.92,1.65,71.10,17.25,28.63,99.12,0.88,27.18
3565,9.17,11.22,2.69,6.98,2.95,3.03,2.32,4.07,2.40,53.30,25.53,24.05,90.73,9.27,33.60
3639,10.48,12.01,4.35,7.31,2.05,3.79,3.81,3.96,3.94,82.73,15.35,15.59,97.63,2.37,18.23
3664,10.70,12.36,1.82,8.13,2.89,3.64,4.86,3.54,4.73,70.21,24.58,25.79,93.60,6.41,25.19
