GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.92,11.52,1.12,6.25,3.05,3.01,2.17,3.40,3.09,87.53,7.11,6.84,98.44,1.56,9.91
3269,9.98,11.55,0.00,6.35,3.73,3.71,3.01,3.70,3.49,76.05,20.41,35.54,94.83,5.17,21.46
3291,9.92,11.52,0.85,6.48,3.24,2.99,2.28,4.17,3.13,64.11,22.14,29.68,94.86,5.14,29.83
3352,10.62,12.17,2.17,7.77,3.14,3.76,3.81,4.32,4.09,96.69,2.69,19.42,99.47,0.53,2.98
3367,10.65,12.22,2.50,6.58,2.99,3.87,2.10,3.86,2.90,85.95,12.99,19.67,99.65,0.35,10.09
3414,10.73,12.37,0.00,7.55,3.07,3.63,4.02,4.31,4.04,90.05,8.08,24.46,98.11,1.89,11.34
3484,10.11,11.63,0.00,6.21,2.77,2.75,1.53,3.95,2.21,86.04,11.65,28.56,99.94,0.06,9.46
3534,9.67,11.39,1.65,5.40,3.41,2.50,0.83,4.51,1.50,75.15,16.93,27.25,100.00,0.00,24.46
3565,9.29,11.22,2.41,6.51,3.00,3.01,2.01,3.83,2.51,56.41,25.15,25.42,94.06,5.94,31.82
3639,10.60,12.13,2.27,7.36,2.62,3.85,4.04,3.28,4.48,82.84,15.36,22.03,97.52,2.48,14.01
3664,10.82,12.57,0.00,8.04,2.30,4.27,4.27,3.60,4.55,71.07,26.71,21.69,96.62,3.38,23.58
