GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.92,11.99,0.00,8.11,2.54,3.45,4.87,2.97,3.35,84.96,5.18,15.91,89.73,9.94,4.26
3269,9.98,12.03,0.00,7.26,3.15,3.47,2.98,3.81,3.44,69.05,22.12,32.40,94.97,5.03,22.16
3291,9.92,11.99,0.00,7.99,2.63,3.33,4.06,3.45,4.34,50.64,27.72,24.66,82.77,17.23,27.24
3352,10.62,12.64,7.69,6.60,1.95,2.67,4.55,2.16,4.11,97.28,2.14,1.59,99.07,0.91,1.82
3367,10.65,12.70,0.00,8.35,2.00,5.00,4.37,2.85,4.39,75.17,22.74,16.19,95.82,4.18,13.37
3414,10.73,12.85,0.00,6.72,2.80,2.87,3.69,4.48,3.47,93.00,5.21,15.03,98.46,1.55,10.84
3484,10.11,12.10,0.00,6.54,2.51,2.50,3.35,3.03,3.98,83.49,12.86,26.71,97.94,2.06,13.05
3534,9.67,11.87,0.00,6.10,2.94,2.89,1.82,3.98,2.53,70.03,20.16,24.06,97.43,2.57,25.31
3565,9.29,11.70,2.17,7.81,2.77,4.05,2.60,4.32,3.14,45.27,34.16,23.04,89.18,10.82,36.32
3639,10.60,12.61,0.00,5.81,3.88,2.15,3.32,2.34,3.76,91.33,6.60,27.35,98.74,1.26,6.34
3664,10.82,13.04,0.00,6.68,2.89,2.79,3.65,2.61,3.68,81.99,15.55,24.59,98.25,1.75,12.58
