GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.92,11.04,2.70,5.71,2.59,2.60,-0.06,3.71,0.68,88.25,6.95,3.66,100.00,0.00,6.91
3269,9.98,11.07,0.00,4.63,4.36,1.68,0.37,4.46,0.97,86.83,8.29,34.04,100.00,0.00,14.37
3291,9.92,11.04,0.00,6.13,2.60,2.75,0.50,4.03,1.15,67.08,19.89,23.34,100.00,0.00,20.63
3352,10.62,11.69,0.00,7.62,3.03,3.60,2.51,4.50,2.80,96.82,2.55,15.59,99.81,0.19,2.77
3367,10.65,11.74,3.85,6.08,3.80,3.09,2.60,4.27,3.01,88.75,9.76,25.03,99.15,0.85,14.60
3414,10.73,11.89,0.00,7.91,2.75,3.36,4.15,3.86,4.18,88.39,9.06,23.37,97.97,2.03,9.65
3484,10.11,11.15,0.83,5.15,2.88,2.32,0.15,4.79,1.00,92.18,6.63,23.06,100.00,0.00,7.04
3534,9.67,10.92,0.89,4.89,3.16,2.24,0.34,4.39,1.91,78.79,14.84,24.33,100.00,0.00,20.10
3565,9.29,10.74,1.96,4.46,3.02,1.50,-0.08,4.08,0.58,73.58,12.61,25.51,100.00,0.00,22.28
3639,10.60,11.66,1.28,5.95,3.06,2.61,2.88,3.79,3.16,90.69,7.78,20.23,98.92,1.08,11.73
3664,10.82,12.09,1.45,7.63,3.08,3.16,4.36,3.54,4.64,74.48,21.09,29.42,96.34,3.66,23.55
