GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.92,11.52,1.61,6.67,3.21,2.84,2.18,3.59,2.25,88.85,4.59,13.27,97.99,2.01,8.26
3269,9.98,11.55,0.00,6.13,4.08,2.80,1.90,4.87,2.05,76.09,16.10,36.44,98.09,1.91,26.73
3291,9.92,11.52,1.41,6.80,3.48,2.68,2.08,4.44,2.23,61.22,20.62,30.34,93.63,6.37,30.46
3352,10.62,12.17,2.94,6.34,4.66,2.20,2.37,4.81,2.53,96.67,2.82,23.05,99.83,0.17,3.71
3367,10.65,12.22,3.45,7.15,4.40,3.97,2.14,3.88,2.78,83.10,14.79,37.46,99.45,0.55,9.91
3414,10.73,12.37,0.00,7.33,3.49,3.24,4.05,4.80,4.05,91.09,7.00,28.37,98.07,1.93,16.24
3484,10.11,11.63,0.00,6.35,2.72,2.51,2.16,3.16,2.36,83.08,12.94,26.21,99.28,0.72,9.39
3534,9.67,11.39,0.77,5.56,3.55,2.27,1.59,4.19,2.06,74.30,14.38,29.47,97.16,2.84,24.87
3565,9.29,11.22,2.70,7.09,3.14,3.14,2.35,4.22,2.49,52.39,26.44,25.53,90.55,9.45,34.75
3639,10.60,12.13,3.45,7.56,2.97,3.68,3.59,3.88,3.80,80.74,16.54,25.34,98.01,1.99,16.27
3664,10.82,12.57,0.00,8.29,2.24,4.17,4.39,3.79,4.35,69.02,27.21,19.42,96.13,3.87,25.59
