GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,10.02,11.53,2.94,6.93,3.34,3.34,2.53,3.05,2.62,86.13,10.62,27.94,98.49,1.51,7.00
3269,10.08,11.56,0.00,6.49,3.72,2.79,1.92,3.72,2.24,96.24,3.37,15.13,99.99,0.01,2.33
3291,10.02,11.53,0.00,6.94,3.05,3.27,2.39,3.42,2.53,81.51,13.13,25.75,97.71,2.29,10.57
3352,10.72,12.30,5.26,5.85,4.71,1.87,2.67,4.42,2.82,93.58,4.38,35.88,99.62,0.38,10.42
3367,10.75,12.36,5.26,5.75,4.40,2.19,1.87,5.12,2.17,96.03,3.54,27.35,99.99,0.01,6.39
3414,10.83,12.54,0.00,7.93,2.28,3.86,4.05,4.18,4.08,86.45,12.26,19.99,98.80,1.20,13.89
3484,10.21,11.65,0.00,5.91,3.06,2.24,1.50,5.10,2.04,96.34,3.13,9.03,99.98,0.02,5.30
3534,9.77,11.40,1.08,5.61,3.28,2.30,1.08,4.21,1.64,84.27,9.15,15.01,99.09,0.91,13.88
3565,9.39,11.22,4.23,6.77,4.15,2.89,1.90,5.08,2.00,80.97,11.61,39.54,98.16,1.84,18.72
3639,10.70,12.26,4.76,6.81,3.60,2.72,3.13,4.81,3.28,91.73,5.31,24.88,98.19,1.81,10.66
3664,10.92,12.76,0.00,7.12,2.37,3.07,4.08,3.69,4.10,95.69,4.04,15.90,99.72,0.28,6.24
