GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.80,11.51,2.94,6.93,3.15,3.34,2.53,2.89,2.62,86.13,10.62,25.63,98.49,1.51,6.53
3269,9.86,11.54,0.00,5.59,3.30,1.88,1.16,3.97,1.56,97.69,1.91,7.61,100.00,0.00,1.55
3291,9.80,11.51,0.00,6.85,2.49,3.22,2.27,3.09,2.42,81.96,12.79,19.25,97.95,2.05,8.83
3352,10.50,12.04,3.57,8.87,2.42,4.07,3.90,3.58,4.02,77.78,18.72,31.51,98.17,1.83,10.71
3367,10.53,12.08,4.76,5.04,5.69,1.63,0.48,6.54,1.25,97.25,2.38,36.13,100.00,0.00,6.47
3414,10.61,12.20,0.00,8.29,2.03,2.49,4.36,3.20,3.50,84.07,10.86,19.24,98.45,1.55,9.51
3484,9.99,11.61,0.00,5.95,3.23,2.27,1.56,5.41,1.92,96.25,3.22,9.92,99.98,0.02,6.11
3534,9.55,11.39,1.08,5.61,3.28,2.30,1.08,4.21,1.64,84.27,9.15,15.01,99.09,0.91,13.88
3565,9.17,11.22,4.29,6.70,3.33,2.83,1.85,4.78,1.95,81.40,11.24,27.39,98.27,1.73,16.83
3639,10.48,12.01,3.23,5.82,3.40,2.32,0.18,5.31,0.48,94.02,3.90,14.32,100.01,0.01,5.65
3664,10.70,12.36,0.00,7.66,2.43,2.61,4.00,2.96,4.02,93.56,5.71,21.72,99.74,0.26,3.19
