GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.92,11.52,2.94,6.93,3.15,3.34,2.53,2.89,2.62,86.13,10.62,25.63,98.49,1.51,6.53
3269,9.98,11.55,0.00,6.49,3.72,2.79,1.92,3.72,2.24,96.24,3.37,15.13,99.99,0.01,2.33
3291,9.92,11.52,0.00,6.85,2.49,3.22,2.27,3.09,2.42,81.96,12.79,19.25,97.95,2.05,8.83
3352,10.62,12.17,4.00,6.20,5.02,2.06,2.67,4.43,2.88,92.40,5.34,45.14,99.62,0.38,10.48
3367,10.65,12.22,4.76,5.75,4.98,2.10,1.87,5.29,2.06,96.02,3.47,34.90,99.99,0.01,6.79
3414,10.73,12.37,0.00,8.65,1.79,3.92,4.82,2.94,3.74,81.69,15.97,18.49,97.66,2.34,9.86
3484,10.11,11.63,0.00,5.95,3.07,2.21,1.56,5.13,1.97,96.25,3.18,9.16,99.98,0.02,5.48
3534,9.67,11.39,1.08,5.61,3.28,2.30,1.08,4.21,1.64,84.27,9.15,15.01,99.09,0.91,13.88
3565,9.29,11.22,4.29,6.70,3.33,2.83,1.85,4.78,1.95,81.40,11.24,27.39,98.27,1.73,16.83
3639,10.60,12.13,3.23,5.91,3.37,2.38,2.06,3.80,2.35,93.85,4.05,14.55,99.18,0.82,5.48
3664,10.82,12.57,0.00,7.21,2.76,3.10,3.90,3.36,3.93,95.44,4.27,21.96,99.76,0.24,4.24
