GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,10.02,11.53,0.99,7.10,3.38,3.06,2.99,3.59,3.00,85.29,10.42,29.74,97.78,2.22,10.10
3269,10.08,11.56,0.00,6.29,3.04,2.63,2.45,4.03,2.76,96.56,3.07,8.65,99.91,0.09,3.69
3291,10.02,11.53,0.85,7.12,3.20,3.09,2.94,3.58,3.02,80.62,12.97,28.62,96.51,3.49,12.81
3352,10.72,12.30,2.38,7.00,3.71,2.73,4.13,3.25,4.07,89.39,8.20,33.91,97.79,2.21,10.08
3367,10.75,12.36,3.57,7.53,3.94,4.29,2.22,5.54,3.45,92.18,7.52,43.35,99.96,0.04,8.69
3414,10.83,12.54,0.00,8.11,2.07,3.60,3.90,4.48,3.84,85.26,12.83,18.39,98.97,1.03,15.01
3484,10.21,11.65,0.00,6.19,3.17,2.91,1.80,4.77,2.11,95.62,4.07,10.12,99.97,0.03,5.28
3534,9.77,11.40,3.01,6.01,3.46,2.64,0.89,4.86,1.56,82.59,10.65,16.66,99.59,0.41,15.50
3565,9.39,11.22,2.66,7.02,3.01,3.05,2.29,4.00,2.37,79.53,12.79,25.55,97.44,2.56,13.67
3639,10.70,12.26,4.00,7.92,1.86,4.35,4.72,3.30,4.81,87.77,10.07,13.40,95.77,4.23,8.56
3664,10.92,12.76,0.00,8.17,2.27,3.47,4.40,4.13,4.18,90.95,8.51,25.35,99.64,0.36,10.42
