GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.80,11.51,0.99,7.10,3.28,3.06,3.06,3.74,3.06,85.29,10.42,28.45,97.64,2.36,11.01
3269,9.86,11.54,0.00,6.25,3.02,2.67,2.42,4.20,2.73,96.63,3.04,8.44,99.91,0.09,3.87
3291,9.80,11.51,0.85,7.18,3.06,3.11,3.20,3.48,3.25,80.31,13.15,27.37,95.91,4.09,12.98
3352,10.50,12.04,1.75,9.17,2.13,4.56,4.66,3.76,4.50,74.94,21.95,29.08,96.88,3.13,15.50
3367,10.53,12.08,1.92,7.89,2.86,4.76,4.73,2.84,5.45,91.10,8.64,30.26,97.74,2.26,5.75
3414,10.61,12.20,0.00,8.17,2.46,3.43,4.68,3.88,4.58,84.86,12.78,24.37,97.95,2.05,15.19
3484,9.99,11.61,0.00,6.25,3.18,2.97,1.82,4.92,2.10,95.47,4.22,10.37,99.97,0.03,5.71
3534,9.55,11.39,2.94,6.05,3.35,2.70,0.98,4.92,1.65,82.41,10.89,16.10,99.50,0.50,16.06
3565,9.17,11.22,2.69,6.98,2.95,3.03,2.32,4.07,2.40,79.75,12.61,24.49,97.34,2.66,14.16
3639,10.48,12.01,4.35,7.31,2.05,3.79,3.81,3.96,3.94,90.20,7.72,11.54,97.31,2.69,9.02
3664,10.70,12.36,1.82,8.13,2.89,3.64,4.86,3.54,4.73,91.19,8.38,36.63,99.36,0.65,9.78
