GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.92,11.52,0.98,7.06,3.30,3.07,2.95,3.58,2.97,85.47,10.33,28.43,97.85,2.15,9.98
3269,9.98,11.55,0.00,6.29,3.00,2.74,2.36,4.04,2.71,96.56,3.11,8.47,99.92,0.08,3.58
3291,9.92,11.52,0.85,7.15,3.08,3.11,3.01,3.38,3.08,80.47,13.09,27.36,96.37,3.63,12.02
3352,10.62,12.17,1.96,8.36,2.84,3.82,4.65,3.53,4.51,81.77,15.27,34.30,96.88,3.12,13.79
3367,10.65,12.22,2.63,6.47,4.25,3.29,2.10,4.11,3.05,94.79,4.94,33.55,99.97,0.03,4.78
3414,10.73,12.37,0.00,8.56,2.16,3.63,4.45,4.18,4.24,82.28,14.98,23.07,98.35,1.65,16.12
3484,10.11,11.63,0.00,6.25,3.12,2.98,1.87,4.71,2.20,95.47,4.23,10.03,99.97,0.03,5.32
3534,9.67,11.39,2.98,6.05,3.39,2.68,0.89,4.83,1.55,82.41,10.82,16.34,99.59,0.41,15.39
3565,9.29,11.22,2.67,7.00,2.98,3.04,2.26,3.97,2.35,79.64,12.70,25.02,97.52,2.48,13.48
3639,10.60,12.13,2.78,7.42,2.08,3.87,4.36,3.64,4.44,89.74,8.13,12.59,96.41,3.59,9.14
3664,10.82,12.57,0.00,8.08,2.52,3.32,4.32,3.71,4.27,91.55,7.88,28.65,99.66,0.34,7.42
