GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.92,11.99,0.00,8.11,2.54,3.45,4.87,2.97,3.35,78.98,15.66,26.28,94.03,5.75,13.29
3269,9.98,12.03,0.00,7.26,3.15,3.47,2.98,3.81,3.44,96.16,3.38,16.70,99.84,0.16,3.10
3291,9.92,11.99,0.00,7.99,2.63,3.33,4.06,3.45,4.34,74.40,17.57,27.03,94.08,5.92,15.69
3352,10.62,12.64,7.69,6.60,1.95,2.67,4.55,2.16,4.11,91.67,6.72,11.76,97.47,2.52,5.89
3367,10.65,12.70,0.00,8.35,2.00,5.00,4.37,2.85,4.39,87.23,12.47,21.82,98.84,1.16,5.59
3414,10.73,12.85,0.00,6.72,2.80,2.87,3.69,4.48,3.47,92.76,6.41,19.26,99.44,0.56,13.58
3484,10.11,12.10,0.00,6.54,2.51,2.50,3.35,3.03,3.98,96.49,2.94,11.73,99.80,0.20,3.01
3534,9.67,11.87,0.00,6.10,2.94,2.89,1.82,3.98,2.53,81.32,12.72,13.54,98.33,1.67,15.73
3565,9.29,11.70,2.17,7.81,2.77,4.05,2.60,4.32,3.14,74.83,18.80,30.06,97.17,2.83,16.49
3639,10.60,12.61,0.00,5.81,3.88,2.15,3.32,2.34,3.76,93.87,3.62,19.28,98.08,1.92,3.78
3664,10.82,13.04,0.00,6.68,2.89,2.79,3.65,2.61,3.68,97.96,1.87,22.01,99.87,0.13,0.94
