GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.80,11.51,1.64,6.73,3.18,2.89,2.44,3.58,2.50,87.16,9.01,24.74,98.63,1.37,8.44
3269,9.86,11.54,0.00,5.77,4.23,2.38,1.77,4.88,1.93,97.41,2.30,14.25,99.98,0.02,3.98
3291,9.80,11.51,1.43,6.85,3.45,2.68,2.38,4.63,2.51,81.98,11.21,29.72,97.74,2.26,16.42
3352,10.50,12.04,2.63,8.42,2.65,4.03,3.63,4.00,3.72,81.39,15.98,31.70,98.50,1.50,11.81
3367,10.53,12.08,3.03,6.83,4.37,3.63,2.74,3.34,3.31,94.00,5.72,40.44,99.88,0.12,4.43
3414,10.61,12.20,0.00,7.39,3.32,3.17,4.06,4.88,4.11,89.35,9.19,29.97,98.79,1.21,18.85
3484,9.99,11.61,0.00,6.41,2.74,2.48,2.30,3.18,2.45,95.05,4.24,8.57,99.94,0.06,2.52
3534,9.55,11.39,0.77,5.56,3.55,2.27,1.73,4.35,2.15,84.48,9.00,16.53,97.57,2.43,15.60
3565,9.17,11.22,2.73,7.05,3.03,3.11,2.44,4.42,2.58,79.34,13.07,26.00,97.01,2.99,16.48
3639,10.48,12.01,2.78,7.57,2.83,3.74,3.61,3.79,3.84,89.18,8.28,22.15,97.58,2.42,7.86
3664,10.70,12.36,3.03,8.16,2.83,3.84,4.65,4.11,4.59,91.05,8.62,35.87,99.53,0.48,12.39
