GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.92,11.52,1.85,6.13,3.15,2.84,1.67,3.74,2.18,89.90,7.79,20.98,99.66,0.34,7.24
3269,9.98,11.55,0.00,7.02,2.92,3.34,2.64,3.82,3.19,96.47,3.12,11.82,99.90,0.10,2.82
3291,9.92,11.52,0.00,6.35,2.86,2.83,1.67,3.91,2.51,84.74,10.67,21.10,99.28,0.72,10.92
3352,10.62,12.17,3.03,5.72,4.86,2.08,2.11,4.97,2.40,94.60,4.14,38.29,99.96,0.04,10.07
3367,10.65,12.22,3.23,6.00,4.23,2.81,2.22,4.99,2.51,96.40,3.39,29.30,100.00,0.00,6.76
3414,10.73,12.37,0.00,9.08,1.73,4.41,4.03,4.27,3.66,78.12,19.99,21.81,99.08,0.92,14.16
3484,10.11,11.63,0.00,5.64,3.14,2.13,1.28,5.19,1.99,97.66,2.05,10.91,99.99,0.01,3.44
3534,9.67,11.39,0.78,5.58,3.40,2.67,1.08,4.14,1.88,83.72,11.33,15.65,99.62,0.38,14.31
3565,9.29,11.22,3.06,6.49,3.11,3.08,1.85,4.07,2.36,83.09,11.69,25.69,98.89,1.11,13.23
3639,10.60,12.13,2.17,5.67,4.15,2.41,2.71,3.88,3.25,94.14,3.92,20.85,98.78,1.22,6.38
3664,10.82,12.57,0.00,8.35,1.99,3.80,4.26,3.84,4.04,89.57,10.17,25.26,99.80,0.21,7.83
