GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,10.02,11.53,2.94,6.93,3.34,3.34,2.53,3.05,2.62,85.68,13.19,43.99,99.66,0.34,6.04
3269,10.08,11.56,0.00,6.49,3.72,2.79,1.92,3.72,2.24,85.36,12.98,30.81,99.98,0.02,9.06
3291,10.02,11.53,0.00,6.94,3.05,3.27,2.39,3.42,2.53,85.56,10.21,21.74,98.39,1.61,8.18
3352,10.72,12.30,5.26,5.85,4.71,1.87,2.67,4.42,2.82,98.43,1.49,47.71,100.00,0.00,5.35
3367,10.75,12.36,5.26,5.75,4.40,2.19,1.87,5.12,2.17,94.88,4.80,45.81,99.95,0.05,13.22
3414,10.83,12.54,0.00,7.93,2.28,3.86,4.05,4.18,4.08,80.07,19.48,30.89,99.68,0.32,22.31
3484,10.21,11.65,0.00,5.91,3.06,2.24,1.50,5.10,2.04,91.77,7.41,26.64,99.97,0.03,13.72
3534,9.77,11.40,1.08,5.61,3.28,2.30,1.08,4.21,1.64,77.29,15.11,35.89,99.65,0.35,20.02
3565,9.39,11.22,4.23,6.77,4.15,2.89,1.90,5.08,2.00,69.91,24.13,49.23,99.08,0.92,32.66
3639,10.70,12.26,4.76,6.81,3.60,2.72,3.13,4.81,3.28,89.29,9.74,46.70,99.71,0.29,21.15
3664,10.92,12.76,0.00,7.12,2.37,3.07,4.08,3.69,4.10,96.51,3.47,19.47,99.99,0.01,6.09
