GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.80,11.51,2.94,6.93,3.15,3.34,2.53,2.89,2.62,85.68,13.19,40.91,99.66,0.34,5.37
3269,9.86,11.54,0.00,5.59,3.30,1.88,1.16,3.97,1.56,90.89,7.44,22.61,99.99,0.01,6.36
3291,9.80,11.51,0.00,6.85,2.49,3.22,2.27,3.09,2.42,85.97,9.87,14.82,98.65,1.35,6.93
3352,10.50,12.04,3.57,8.87,2.42,4.07,3.90,3.58,4.02,80.06,19.61,41.61,99.96,0.04,7.23
3367,10.53,12.08,4.76,5.04,5.69,1.63,0.48,6.54,1.25,97.63,2.10,54.79,100.00,0.00,13.48
3414,10.61,12.20,0.00,8.29,2.03,2.49,4.36,3.20,3.50,75.14,20.89,27.24,99.45,0.55,14.37
3484,9.99,11.61,0.00,5.95,3.23,2.27,1.56,5.41,1.92,91.53,7.65,28.20,99.97,0.03,16.62
3534,9.55,11.39,1.08,5.61,3.28,2.30,1.08,4.21,1.64,77.29,15.11,35.89,99.65,0.35,20.02
3565,9.17,11.22,4.29,6.70,3.33,2.83,1.85,4.78,1.95,70.88,23.24,42.25,99.14,0.86,28.04
3639,10.48,12.01,3.23,5.82,3.40,2.32,0.18,5.31,0.48,95.66,3.80,38.85,100.00,0.00,2.84
3664,10.70,12.36,0.00,7.66,2.43,2.61,4.00,2.96,4.02,93.91,5.96,27.82,99.99,0.01,2.51
