GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.92,11.52,2.94,6.93,3.15,3.34,2.53,2.89,2.62,85.68,13.19,40.91,99.66,0.34,5.37
3269,9.98,11.55,0.00,6.49,3.72,2.79,1.92,3.72,2.24,85.36,12.98,30.81,99.98,0.02,9.06
3291,9.92,11.52,0.00,6.85,2.49,3.22,2.27,3.09,2.42,85.97,9.87,14.82,98.65,1.35,6.93
3352,10.62,12.17,4.00,6.20,5.02,2.06,2.67,4.43,2.88,97.51,2.39,58.12,100.00,0.00,5.41
3367,10.65,12.22,4.76,5.75,4.98,2.10,1.87,5.29,2.06,94.87,4.75,52.03,99.95,0.05,14.46
3414,10.73,12.37,0.00,8.65,1.79,3.92,4.82,2.94,3.74,70.22,28.56,23.59,98.85,1.15,15.95
3484,10.11,11.63,0.00,5.95,3.07,2.21,1.56,5.13,1.97,91.53,7.56,26.81,99.97,0.03,14.38
3534,9.67,11.39,1.08,5.61,3.28,2.30,1.08,4.21,1.64,77.29,15.11,35.89,99.65,0.35,20.02
3565,9.29,11.22,4.29,6.70,3.33,2.83,1.85,4.78,1.95,70.88,23.24,42.25,99.14,0.86,28.04
3639,10.60,12.13,3.23,5.91,3.37,2.38,2.06,3.80,2.35,95.20,4.25,39.30,99.95,0.05,3.99
3664,10.82,12.57,0.00,7.21,2.76,3.10,3.90,3.36,3.93,96.24,3.74,27.89,99.99,0.01,3.67
