GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,10.02,11.53,0.99,7.10,3.38,3.06,2.99,3.59,3.00,84.37,13.88,46.17,99.36,0.64,11.37
3269,10.08,11.56,0.00,6.29,3.04,2.63,2.45,4.03,2.76,86.63,11.82,22.35,99.78,0.22,14.55
3291,10.02,11.53,0.85,7.12,3.20,3.09,2.94,3.58,3.02,84.74,10.31,25.37,97.19,2.81,9.79
3352,10.72,12.30,2.38,7.00,3.71,2.73,4.13,3.25,4.07,94.62,5.28,46.82,99.90,0.10,6.96
3367,10.75,12.36,3.57,7.53,3.94,4.29,2.22,5.54,3.45,82.57,17.22,48.92,99.93,0.07,18.94
3414,10.83,12.54,0.00,8.11,2.07,3.60,3.90,4.48,3.84,77.61,21.50,28.10,99.79,0.21,24.42
3484,10.21,11.65,0.00,6.19,3.17,2.91,1.80,4.77,2.11,89.91,9.60,28.11,99.96,0.04,12.70
3534,9.77,11.40,3.01,6.01,3.46,2.64,0.89,4.86,1.56,73.67,18.48,38.13,99.88,0.12,23.93
3565,9.39,11.22,2.66,7.02,3.01,3.05,2.29,4.00,2.37,66.63,27.07,38.03,98.63,1.37,23.29
3639,10.70,12.26,4.00,7.92,1.86,4.35,4.72,3.30,4.81,77.74,21.68,28.44,98.57,1.43,20.94
3664,10.92,12.76,0.00,8.17,2.27,3.47,4.40,4.13,4.18,90.74,9.18,31.67,99.97,0.03,11.27
