GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.80,11.51,0.99,7.10,3.28,3.06,3.06,3.74,3.06,84.37,13.88,44.48,99.30,0.70,12.94
3269,9.86,11.54,0.00,6.25,3.02,2.67,2.42,4.20,2.73,86.88,11.74,22.09,99.80,0.20,15.43
3291,9.80,11.51,0.85,7.18,3.06,3.11,3.20,3.48,3.25,84.46,10.51,23.92,96.62,3.38,9.92
3352,10.50,12.04,1.75,9.17,2.13,4.56,4.66,3.76,4.50,75.85,23.90,37.79,99.80,0.20,14.66
3367,10.53,12.08,1.92,7.89,2.86,4.76,4.73,2.84,5.45,80.18,19.65,37.56,98.35,1.65,15.95
3414,10.61,12.20,0.00,8.17,2.46,3.43,4.68,3.88,4.58,76.79,21.98,32.27,99.08,0.92,26.23
3484,9.99,11.61,0.00,6.25,3.18,2.97,1.82,4.92,2.10,89.51,10.00,28.38,99.96,0.04,13.96
3534,9.55,11.39,2.94,6.05,3.35,2.70,0.98,4.92,1.65,73.24,18.99,36.95,99.85,0.15,25.29
3565,9.17,11.22,2.69,6.98,2.95,3.03,2.32,4.07,2.40,67.14,26.62,37.42,98.56,1.44,24.55
3639,10.48,12.01,4.35,7.31,2.05,3.79,3.81,3.96,3.94,84.83,14.62,30.41,99.35,0.65,18.62
3664,10.70,12.36,1.82,8.13,2.89,3.64,4.86,3.54,4.73,91.02,8.93,42.60,99.90,0.10,10.68
