GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.92,11.52,1.12,6.25,3.05,3.01,2.17,3.40,3.09,91.75,7.75,33.01,99.91,0.09,4.91
3269,9.98,11.55,0.00,6.35,3.73,3.71,3.01,3.70,3.49,87.40,12.47,33.20,99.72,0.28,14.68
3291,9.92,11.52,0.85,6.48,3.24,2.99,2.28,4.17,3.13,88.14,8.59,23.17,99.08,0.92,10.86
3352,10.62,12.17,2.17,7.77,3.14,3.76,3.81,4.32,4.09,90.14,9.83,43.95,99.95,0.05,12.22
3367,10.65,12.22,2.50,6.58,2.99,3.87,2.10,3.86,2.90,91.04,8.91,31.66,99.96,0.04,5.01
3414,10.73,12.37,0.00,7.55,3.07,3.63,4.02,4.31,4.04,84.80,15.15,39.90,99.95,0.05,22.56
3484,10.11,11.63,0.00,6.21,2.77,2.75,1.53,3.95,2.21,90.52,9.14,24.19,99.98,0.02,5.39
3534,9.67,11.39,1.65,5.40,3.41,2.50,0.83,4.51,1.50,80.79,15.04,36.98,100.00,0.00,19.11
3565,9.29,11.22,2.41,6.51,3.00,3.01,2.01,3.83,2.51,75.40,21.10,37.84,99.33,0.67,17.24
3639,10.60,12.13,2.27,7.36,2.62,3.85,4.04,3.28,4.48,84.90,14.83,33.51,99.64,0.36,13.90
3664,10.82,12.57,0.00,8.04,2.30,4.27,4.27,3.60,4.55,91.11,8.63,28.81,99.80,0.20,6.78
