GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,10.02,11.53,1.61,6.79,3.38,2.93,2.36,3.70,2.42,86.81,11.69,43.49,99.75,0.25,8.33
3269,10.08,11.56,0.00,6.13,4.08,2.80,1.90,4.87,2.05,87.64,11.32,33.02,99.98,0.02,16.63
3291,10.02,11.53,1.43,6.85,3.57,2.68,2.18,4.51,2.32,85.99,8.79,28.06,98.84,1.16,12.17
3352,10.72,12.30,3.70,5.86,4.39,1.84,2.06,4.95,2.20,98.40,1.52,41.90,100.00,0.00,4.92
3367,10.75,12.36,5.00,7.51,4.13,4.38,2.09,4.08,2.77,82.68,17.14,51.40,99.95,0.05,7.13
3414,10.83,12.54,0.00,6.13,3.82,2.43,1.45,5.98,1.61,94.41,5.37,42.16,100.00,0.00,13.77
3484,10.21,11.65,0.00,6.35,2.74,2.56,2.16,3.18,2.39,88.81,10.20,24.77,99.95,0.05,5.54
3534,9.77,11.40,0.77,5.56,3.55,2.27,1.59,4.19,2.06,77.69,14.79,38.55,98.85,1.15,23.63
3565,9.39,11.22,2.68,7.13,3.25,3.17,2.39,4.31,2.53,65.12,28.57,39.77,98.41,1.59,28.35
3639,10.70,12.26,4.35,7.92,2.67,3.95,5.12,2.34,5.22,77.75,21.37,36.82,98.08,1.92,13.76
3664,10.92,12.76,0.00,8.72,2.35,4.20,4.47,4.76,4.28,86.38,13.56,38.86,99.97,0.03,18.18
