GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.92,11.04,2.70,5.71,2.59,2.60,-0.06,3.71,0.68,94.47,5.10,21.84,100.00,0.00,0.87
3269,9.98,11.07,0.00,4.63,4.36,1.68,0.37,4.46,0.97,96.21,3.48,29.90,99.99,0.01,4.66
3291,9.92,11.04,0.00,6.13,2.60,2.75,0.50,4.03,1.15,89.52,7.47,14.89,100.00,0.00,5.90
3352,10.62,11.69,0.00,7.62,3.03,3.60,2.51,4.50,2.80,91.48,8.49,40.78,99.89,0.11,4.17
3367,10.65,11.74,3.85,6.08,3.80,3.09,2.60,4.27,3.01,94.19,5.75,39.01,99.97,0.03,10.51
3414,10.73,11.89,0.00,7.91,2.75,3.36,4.15,3.86,4.18,81.05,18.53,36.73,99.91,0.09,19.10
3484,10.11,11.15,0.83,5.15,2.88,2.32,0.15,4.79,1.00,96.05,3.84,20.27,100.00,0.00,3.30
3534,9.67,10.92,0.89,4.89,3.16,2.24,0.34,4.39,1.91,84.76,12.14,32.00,100.00,0.00,14.28
3565,9.29,10.74,1.96,4.46,3.02,1.50,-0.08,4.08,0.58,92.67,5.21,29.12,100.00,0.00,5.18
3639,10.60,11.66,1.28,5.95,3.06,2.61,2.88,3.79,3.16,95.39,4.37,30.16,99.87,0.13,8.41
3664,10.82,12.09,1.45,7.63,3.08,3.16,4.36,3.54,4.64,94.24,5.62,38.37,99.82,0.18,7.01
