GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.92,11.52,1.85,6.13,3.15,2.84,1.67,3.74,2.18,92.52,6.96,33.47,99.97,0.03,4.32
3269,9.98,11.55,0.00,7.02,2.92,3.34,2.64,3.82,3.19,82.94,15.84,26.98,99.88,0.12,13.15
3291,9.92,11.52,0.00,6.35,2.86,2.83,1.67,3.91,2.51,88.64,8.02,18.37,99.79,0.21,8.53
3352,10.62,12.17,3.03,5.72,4.86,2.08,2.11,4.97,2.40,99.31,0.64,47.20,99.88,0.12,4.59
3367,10.65,12.22,3.23,6.00,4.23,2.81,2.22,4.99,2.51,94.52,5.42,44.54,99.97,0.03,13.43
3414,10.73,12.37,0.00,9.08,1.73,4.41,4.03,4.27,3.66,67.28,32.22,25.26,99.95,0.02,22.27
3484,10.11,11.63,0.00,5.64,3.14,2.13,1.28,5.19,1.99,93.80,5.82,25.44,99.99,0.01,11.52
3534,9.67,11.39,0.78,5.58,3.40,2.67,1.08,4.14,1.88,79.16,16.59,37.31,99.86,0.14,17.99
3565,9.29,11.22,3.06,6.49,3.11,3.08,1.85,4.07,2.36,75.63,21.16,39.20,99.50,0.50,18.23
3639,10.60,12.13,2.17,5.67,4.15,2.41,2.71,3.88,3.25,96.64,3.14,42.87,99.90,0.10,7.86
3664,10.82,12.57,0.00,8.35,1.99,3.80,4.84,3.26,4.62,88.73,11.15,26.51,99.91,0.27,8.53
