Mhost,Msat,R,V,m_infall,m_max,r,r_min,t_infall,t_peri,v,v_max
1058345642997412.0,1058345642997412.0,0.0,0.0,,1058345642997412.0,0.0,0.0,,,0.0,0.0
743460841299568.6,743460841299568.6,0.0,0.0,,743460841299568.6,0.0,0.0,,,0.0,0.0
715409137893908.4,715409137893908.4,0.0,0.0,,715409137893908.4,0.0,0.0,,,0.0,0.0
1162629249087527.2,1162629249087527.2,0.0,0.0,,1162629249087527.2,0.0,0.0,,,0.0,0.0
649335306690741.5,649335306690741.5,0.0,0.0,,649335306690741.5,0.0,0.0,,,0.0,0.0
1624327924217193.5,1624327924217193.5,0.0,0.0,,1624327924217193.5,0.0,0.0,,,0.0,0.0
945760660517814.0,945760660517814.0,0.0,0.0,,945760660517814.0,0.0,0.0,,,0.0,0.0
870186067843970.4,870186067843970.4,0.0,0.0,,870186067843970.4,0.0,0.0,,,0.0,0.0
1910945421653837.2,1910945421653837.2,0.0,0.0,,1910945421653837.2,0.0,0.0,,,0.0,0.0
734327939495515.5,734327939495515.5,0.0,0.0,,734327939495515.5,0.0,0.0,,,0.0,0.0
1033973428399456.4,1033973428399456.4,0.0,0.0,,1033973428399456.4,0.0,0.0,,,0.0,0.0
712259977627415.0,712259977627415.0,0.0,0.0,,712259977627415.0,0.0,0.0,,,0.0,0.0
703545044102617.4,703545044102617.4,0.0,0.0,,703545044102617.4,0.0,0.0,,,0.0,0.0
683584915150463.8,683584915150463.8,0.0,0.0,,683584915150463.8,0.0,0.0,,,0.0,0.0
766912861533400.2,766912861533400.2,0.0,0.0,,766912861533400.2,0.0,0.0,,,0.0,0.0
862333835121819.8,862333835121819.8,0.0,0.0,,862333835121819.8,0.0,0.0,,,0.0,0.0
792958634404490.4,792958634404490.4,0.0,0.0,,792958634404490.4,0.0,0.0,,,0.0,0.0
731413610689607.0,731413610689607.0,0.0,0.0,,731413610689607.0,0.0,0.0,,,0.0,0.0
811078275501565.6,811078275501565.6,0.0,0.0,,811078275501565.6,0.0,0.0,,,0.0,0.0
670506666380289.5,670506666380289.5,0.0,0.0,,670506666380289.5,0.0,0.0,,,0.0,0.0
981929067028419.4,981929067028419.4,0.0,0.0,,981929067028419.4,0.0,0.0,,,0.0,0.0
1652392910618091.5,1652392910618091.5,0.0,0.0,,1652392910618091.5,0.0,0.0,,,0.0,0.0
802316108042209.8,802316108042209.8,0.0,0.0,,802316108042209.8,0.0,0.0,,,0.0,0.0
1016423915265890.6,1016423915265890.6,0.0,0.0,,1016423915265890.6,0.0,0.0,,,0.0,0.0
778090105518700.1,778090105518700.1,0.0,0.0,,778090105518700.1,0.0,0.0,,,0.0,0.0
921116739278463.8,921116739278463.8,0.0,0.0,,921116739278463.8,0.0,0.0,,,0.0,0.0
719596750832874.4,719596750832874.4,0.0,0.0,,719596750832874.4,0.0,0.0,,,0.0,0.0
1351304283757660.2,1351304283757660.2,0.0,0.0,,1351304283757660.2,0.0,0.0,,,0.0,0.0
