Mhost,Msat,R,V,m_infall,m_max,r,r_min,t_infall,t_peri,v,v_max
1033973428399456.4,625505157483.0133,0.06290468549125446,0.5651028107565933,1002215620632.2008,1045446050977.8434,0.8156939841664829,0.2787212975483443,0.6413260000000001,0.9182459999999999,0.5598758555015146,1.6911226313000869
862333835121819.8,188330873382.57016,0.06453704467705104,0.5099236614091043,,461841969158.0502,0.1724398427688723,0.11982885620007087,,0.398825,1.298597885233737,1.298597885233737
981929067028419.4,95224074209.74887,0.03183595310413746,0.564444582820495,167602656992.61447,450122593181.6839,0.3443102093871939,0.3443102093871939,0.8273459999999999,1.019134,1.2576034838175472,2.0297791021354143
1016423915265890.6,159280649831.61005,0.06294177337163287,0.5744249599577271,,284686859344.1654,0.2372781200508041,0.12101668309132772,,1.019134,1.2657074752583222,1.4534663264379153
710573136359042.8,101989214156.5731,0.06596858536907355,0.493402550646989,151443132313.1462,210240770646.97192,0.4050698812907282,0.4050698812907282,0.398825,0.524972,1.1649529316149854,1.1649529316149854
2170354586755592.0,199310186257.01624,0.06885500324681304,0.5307938744892016,199310186257.01624,199310186257.01624,1.260125206653531,1.260125206653531,0.8041560000000001,1.185992,0.9462413294374616,1.0390286931204151
1514460900293010.2,191481538363.3678,0.06305658603483041,0.5888886834953664,362728207503.6928,479271786257.0162,0.37637289212049824,0.26987902574945144,0.500677,0.665315,1.4955764900829225,1.7378065200894406
1176465272910652.8,109276222014.77104,0.06726115869117477,0.5769341345613043,166026586375.18466,192515509128.5081,0.0940584517550444,0.0940584517550444,0.710946,1.0,1.9422696471061247,1.9422696471061247
743771058714469.6,96789804998.52287,0.06038916566020117,0.5613925548369572,,363663208744.4608,0.1642316031217784,0.1642316031217784,,1.0,1.5877104857816449,1.720060999829096
1499069378251438.5,47355982652.88035,0.06792313227881426,0.4958439112050846,92624372655.83456,146218608685.37665,0.6854548758903168,0.501278669916151,0.731448,0.9628030000000001,0.9069233972449848,1.4707543529054943
944264440143787.2,47877844514.032486,0.017520661068668963,0.4951527038218974,105120675734.12112,257788784307.2378,0.1456286658030955,0.1456286658030955,0.308788,0.362766,1.585232976127814,1.585232976127814
1447819815804407.5,221664702203.84045,0.06250745910066724,0.5158359069045289,,328754809760.709,0.1826101331094257,0.1826101331094257,,,1.089029754046022,1.089029754046022
966813910589258.4,372624821128.5081,0.023594529538615988,0.5348681424126704,371540621423.9291,389265882942.3929,0.5277384330944843,0.5277384330944843,0.684501,1.019134,1.4846760747988268,1.4846760747988268
1096849378499119.6,460512566073.8552,0.018552936375279563,0.5749557882949453,817035472732.6439,1176336737937.9614,0.22836711836792506,0.15536639347786513,0.398825,0.665315,1.5275577498165147,1.6118243607822944
744515501208768.0,232595274493.35306,0.031117950650247205,0.5343268318843111,60359382026.587875,354406200342.6883,0.8876852646432567,0.8876852646432567,0.759707,1.1098700000000001,1.1738465520341028,1.4056974524705312
773608581528389.9,80137816484.49039,0.02125549283129295,0.5508147508684421,200886256874.44608,241994100088.6263,0.04543096488314683,0.04543096488314683,0.545254,0.759707,1.5320715654160533,1.5320715654160533
697932036909754.8,78577107379.61595,0.06265162762729587,0.5091346486106136,110841946753.32347,152511081122.5997,0.0799060008441521,0.0799060008441521,0.61674,1.001185,1.900151247712054,1.900151247712054
697932036909754.8,71806939698.6706,0.06207023578377977,0.5787885025755424,298178732431.3146,298178732431.3146,0.7487605335956428,0.22486819216547568,0.731448,0.935816,0.5962390038190358,1.730688997611314
1504180159359432.8,279419488047.2673,0.04985585916370065,0.5865911637739784,,343426887468.24225,0.9982698848540628,0.3540317642408275,,1.419969,0.5885138546607986,1.6161176773453059
1833825739078712.0,250320536011.81686,0.06988747203565712,0.5166561058533438,618710468254.062,626488923509.6012,0.29151754112638883,0.27205867363017194,0.545254,0.731448,1.2113960211524644,1.5198042662263498
945332333484809.4,91063518345.64253,0.05573058602942062,0.5277779069392909,186262919751.8464,207632205518.4638,1.2994672379563044,0.3838879105973943,0.593799,0.8512049999999999,0.5822721826685376,1.4949799515324351
844525898342097.4,47351109199.409164,0.03665571627083,0.5282832296187047,96789804998.52287,209158047196.45493,0.17999799712052558,0.11300799386811147,0.219532,0.45974499999999996,1.5102483602561187,1.7875911545751564
844525898342097.4,151437227296.89807,0.06264495754707218,0.5052398058087653,,199852286109.30576,0.15309493606847607,0.15309493606847607,,0.892508,1.2195185115264373,1.2979197450207614
1101821282918097.4,129177699828.65582,0.011996568054859756,0.5012092399225592,154553914233.38254,161841950629.24667,0.06061785695593034,0.06061785695593034,0.731448,1.0,2.0642669712668704,2.0642669712668704
970908443434729.6,183751847893.64844,0.07037103890149961,0.5374863643733115,770704570044.3131,777991118085.672,0.3514141322813053,0.22747473710080385,0.380368,0.571712,0.7089509080810986,1.4820686200854047
