Mhost,Msat,R,V,m_infall,m_max,r,r_min,t_infall,t_peri,v,v_max
1058345642997412.0,87941948880.35449,0.036566271838264525,0.009727197171614405,235203839621.86115,872131500809.4534,0.13016971318927642,0.13016971318927642,0.61674,0.8041560000000001,1.5311784751653883,1.5972048885812788
1162629249087527.2,149364844903.98816,0.0777608658858785,0.02923603268784615,,276366328437.223,0.28680843989658183,0.12431221262876932,,0.9628030000000001,0.2763078247167795,1.1533548248436285
515066478809808.0,313785811379.6159,0.08033746139786546,0.0072464220036775814,733186129677.9911,1421664703716.3958,0.4149538272516123,0.26789344336495025,0.29172,0.398825,0.6883438408381288,1.5343623703816058
1910945421653837.2,61403250954.20975,0.0777611287881388,0.05657560049500141,223732643734.1211,259675025583.4564,0.5760873157350446,0.17886203702077969,0.45974499999999996,0.892508,0.3346416668339742,1.274799262272015
511511096793429.8,817528783598.2274,0.03057656034282798,0.036855112397826836,193057608980.79764,817528783598.2274,0.03824565417321255,0.0054733984963825704,0.684501,0.9182459999999999,0.13849675732155586,2.015547235555021
1033973428399456.4,122550517033.9734,0.07945997660195815,0.03941908067582731,,248153612856.72086,0.4930073531945186,0.2685725175898514,,0.8757520000000001,0.5570763156124954,1.1432609734470278
683584915150463.8,210734129914.3279,0.07818945517412054,0.02550134552798436,611915827426.8833,611915827426.8833,0.33435235751532644,0.3136420876624402,0.45974499999999996,0.665315,0.9214814047185154,1.2202866849551983
862333835121819.8,317921718641.0635,0.05861133568557182,0.008785262810613505,178483012443.13144,580797650245.1993,0.8347313629850921,0.2293614109311469,0.192255,0.308788,0.7319466718260322,1.4336371832890245
646666168099166.9,59325405211.22599,0.08033286922108622,0.01301483636843517,392810925565.7312,392810925565.7312,0.12902562021851988,0.12902562021851988,0.545254,0.684501,1.7088553631809948,1.7088553631809948
1652392910618091.5,654110798652.8802,0.08513487848716028,0.018245835630468797,893008830960.1182,936189117069.4238,0.1496829987069307,0.1496829987069307,0.759707,1.0,1.9332917543299142,1.9332917543299142
802316108042209.8,32259968945.34712,0.06421993424066576,0.009272574259542962,92112257701.6248,298670615444.6085,0.21113082156423,0.21113082156423,0.23237600000000003,0.363626,1.4877534599401738,1.4877534599401738
