Mhost,Msat,R,V,m_infall,m_max,r,r_min,t_infall,t_peri,v,v_max
1058345642997412.0,2110974965412.1118,0.08752957545221439,0.25173902268219184,366322014912.8508,2110974965412.1118,0.1591010056178853,0.1591010056178853,0.571712,1.001185,1.334285962715354,1.334285962715354
515066478809808.0,265386991361.8907,0.04446522688999704,0.2550588603715251,520335317648.449,567208271787.2969,0.8906387368351959,0.17636880622451398,0.61674,0.892508,0.17874393991009924,1.8740776531931767
1624327924217193.5,266469714812.40765,0.053554953160898616,0.21476990311937816,568734137666.1743,710339718617.4298,0.23057844775244765,0.22196286518472572,0.524972,0.759707,1.025262267966074,1.496415141150074
1624327924217193.5,115007391196.45496,0.09704694318378626,0.19610366831845966,421466759373.7075,421466759373.7075,0.15302324214927285,0.09488844460772247,0.571712,0.731448,1.2139138422820828,1.551777445032124
734327939495515.5,600768076384.0472,0.059014136862296576,0.2459020200578544,324716407870.0148,600768076384.0472,0.08895061730236785,0.08895061730236785,0.665315,1.0,1.0543223403966446,1.912456997814049
712259977627415.0,1615952709955.6868,0.08777402845205122,0.17044204266529814,1370211199432.7915,2549438684833.087,1.294683491839972,0.473632172614617,0.545254,0.781616,0.38869684852458747,1.262339217164719
637666195374322.0,199803545524.37225,0.06997945108890899,0.22195827874010415,636927636986.706,2309497739533.235,0.2980538342822204,0.1347719032907379,0.326854,0.6413260000000001,1.3599542147468286,1.522121460933083
537321988640519.9,372033980691.285,0.04528693310767146,0.18920582936925293,439143280307.2378,439143280307.2378,0.3013167775480781,0.3013167775480781,0.731448,1.001185,1.7063908194745916,1.7063908194745916
1652392910618091.5,439685380159.5273,0.06816024200557724,0.2013390828928708,,610339720508.124,0.0765547707198366,0.07053120604082767,,1.0,1.3299926847030337,1.3908035727716392
921116739278463.8,503692755379.6159,0.08949101527710697,0.21082805046039327,508911386091.5805,627596743279.1727,0.5504589355297924,0.5326683975389891,0.61674,0.981225,1.1416556988162558,1.3611787507169415
566026590912850.8,306499263338.257,0.07040615313564434,0.17745590738327524,768636652714.9187,881487466635.155,0.14292308752005042,0.14292308752005042,0.665315,1.001185,0.9536129525548136,1.1286089435120523
1351304283757660.2,672279178398.8182,0.05548614306603929,0.25452045192969586,1369620407397.3408,1821757724360.4136,0.08257580378558868,0.08257580378558868,0.731448,1.001185,1.7105746083111693,1.7105746083111693
