Mhost,Msat,R,V,m_infall,m_max,r,r_min,t_infall,t_peri,v,v_max
283112248814605.6,283112248814605.6,0.0,0.0,,283112248814605.6,0.0,0.0,,,0.0,0.0
256474143570056.1,256474143570056.1,0.0,0.0,,256474143570056.1,0.0,0.0,,,0.0,0.0
627474172953713.4,627474172953713.4,0.0,0.0,,627474172953713.4,0.0,0.0,,,0.0,0.0
593106355749057.6,593106355749057.6,0.0,0.0,,593106355749057.6,0.0,0.0,,,0.0,0.0
355228950709506.6,355228950709506.6,0.0,0.0,,355228950709506.6,0.0,0.0,,,0.0,0.0
163171349260478.56,163171349260478.56,0.0,0.0,,163171349260478.56,0.0,0.0,,,0.0,0.0
390940927730765.1,390940927730765.1,0.0,0.0,,390940927730765.1,0.0,0.0,,,0.0,0.0
436779924753772.5,436779924753772.5,0.0,0.0,,436779924753772.5,0.0,0.0,,,0.0,0.0
119997934654014.77,119997934654014.77,0.0,0.0,,119997934654014.77,0.0,0.0,,,0.0,0.0
156769577489394.38,156769577489394.38,0.0,0.0,,156769577489394.38,0.0,0.0,,,0.0,0.0
147139294424295.4,147139294424295.4,0.0,0.0,,147139294424295.4,0.0,0.0,,,0.0,0.0
402558344405270.3,402558344405270.3,0.0,0.0,,402558344405270.3,0.0,0.0,,,0.0,0.0
362664702054853.75,362664702054853.75,0.0,0.0,,362664702054853.75,0.0,0.0,,,0.0,0.0
298375178575787.25,298375178575787.25,0.0,0.0,,298375178575787.25,0.0,0.0,,,0.0,0.0
206991132753678.0,206991132753678.0,0.0,0.0,,206991132753678.0,0.0,0.0,,,0.0,0.0
227079767250245.2,227079767250245.2,0.0,0.0,,227079767250245.2,0.0,0.0,,,0.0,0.0
253274750782392.9,253274750782392.9,0.0,0.0,,253274750782392.9,0.0,0.0,,,0.0,0.0
135997042210032.48,135997042210032.48,0.0,0.0,,135997042210032.48,0.0,0.0,,,0.0,0.0
225750377331332.38,225750377331332.38,0.0,0.0,,225750377331332.38,0.0,0.0,,,0.0,0.0
128966025712118.16,128966025712118.16,0.0,0.0,,128966025712118.16,0.0,0.0,,,0.0,0.0
151140325887243.72,151140325887243.72,0.0,0.0,,151140325887243.72,0.0,0.0,,,0.0,0.0
246850811773920.25,246850811773920.25,0.0,0.0,,246850811773920.25,0.0,0.0,,,0.0,0.0
324719347987285.06,324719347987285.06,0.0,0.0,,324719347987285.06,0.0,0.0,,,0.0,0.0
173215660313335.28,173215660313335.28,0.0,0.0,,173215660313335.28,0.0,0.0,,,0.0,0.0
184785818271574.6,184785818271574.6,0.0,0.0,,184785818271574.6,0.0,0.0,,,0.0,0.0
167898075855976.34,167898075855976.34,0.0,0.0,,167898075855976.34,0.0,0.0,,,0.0,0.0
193205316670014.75,193205316670014.75,0.0,0.0,,193205316670014.75,0.0,0.0,,,0.0,0.0
206212702147497.75,206212702147497.75,0.0,0.0,,206212702147497.75,0.0,0.0,,,0.0,0.0
142294383865571.62,142294383865571.62,0.0,0.0,,142294383865571.62,0.0,0.0,,,0.0,0.0
161152135730670.6,161152135730670.6,0.0,0.0,,161152135730670.6,0.0,0.0,,,0.0,0.0
173757760165624.8,173757760165624.8,0.0,0.0,,173757760165624.8,0.0,0.0,,,0.0,0.0
131984189872590.84,131984189872590.84,0.0,0.0,,131984189872590.84,0.0,0.0,,,0.0,0.0
115479027457890.69,115479027457890.69,0.0,0.0,,115479027457890.69,0.0,0.0,,,0.0,0.0
178172819616330.84,178172819616330.84,0.0,0.0,,178172819616330.84,0.0,0.0,,,0.0,0.0
110907682168626.28,110907682168626.28,0.0,0.0,,110907682168626.28,0.0,0.0,,,0.0,0.0
176917279185867.06,176917279185867.06,0.0,0.0,,176917279185867.06,0.0,0.0,,,0.0,0.0
158921707707556.84,158921707707556.84,0.0,0.0,,158921707707556.84,0.0,0.0,,,0.0,0.0
183604139720413.6,183604139720413.6,0.0,0.0,,183604139720413.6,0.0,0.0,,,0.0,0.0
157388475853329.38,157388475853329.38,0.0,0.0,,157388475853329.38,0.0,0.0,,,0.0,0.0
111134125021211.22,111134125021211.22,0.0,0.0,,111134125021211.22,0.0,0.0,,,0.0,0.0
122048298790192.02,122048298790192.02,0.0,0.0,,122048298790192.02,0.0,0.0,,,0.0,0.0
110276070788726.72,110276070788726.72,0.0,0.0,,110276070788726.72,0.0,0.0,,,0.0,0.0
184243718419285.03,184243718419285.03,0.0,0.0,,184243718419285.03,0.0,0.0,,,0.0,0.0
743460841299568.6,743460841299568.6,0.0,0.0,,743460841299568.6,0.0,0.0,,,0.0,0.0
203988184561630.72,203988184561630.72,0.0,0.0,,203988184561630.72,0.0,0.0,,,0.0,0.0
172726729614558.34,172726729614558.34,0.0,0.0,,172726729614558.34,0.0,0.0,,,0.0,0.0
153865582655527.3,153865582655527.3,0.0,0.0,,153865582655527.3,0.0,0.0,,,0.0,0.0
353347126966262.9,353347126966262.9,0.0,0.0,,353347126966262.9,0.0,0.0,,,0.0,0.0
174228947161807.97,174228947161807.97,0.0,0.0,,174228947161807.97,0.0,0.0,,,0.0,0.0
324415078182192.0,324415078182192.0,0.0,0.0,,324415078182192.0,0.0,0.0,,,0.0,0.0
328484482376224.5,328484482376224.5,0.0,0.0,,328484482376224.5,0.0,0.0,,,0.0,0.0
137104871272744.44,137104871272744.44,0.0,0.0,,137104871272744.44,0.0,0.0,,,0.0,0.0
437454928903562.8,437454928903562.8,0.0,0.0,,437454928903562.8,0.0,0.0,,,0.0,0.0
216740021071031.0,216740021071031.0,0.0,0.0,,216740021071031.0,0.0,0.0,,,0.0,0.0
383209753649914.3,383209753649914.3,0.0,0.0,,383209753649914.3,0.0,0.0,,,0.0,0.0
442737050737441.6,442737050737441.6,0.0,0.0,,442737050737441.6,0.0,0.0,,,0.0,0.0
397985227223917.25,397985227223917.25,0.0,0.0,,397985227223917.25,0.0,0.0,,,0.0,0.0
139167948424886.23,139167948424886.23,0.0,0.0,,139167948424886.23,0.0,0.0,,,0.0,0.0
131644606134262.92,131644606134262.92,0.0,0.0,,131644606134262.92,0.0,0.0,,,0.0,0.0
303150663180856.7,303150663180856.7,0.0,0.0,,303150663180856.7,0.0,0.0,,,0.0,0.0
303025119050493.3,303025119050493.3,0.0,0.0,,303025119050493.3,0.0,0.0,,,0.0,0.0
218663230265855.2,218663230265855.2,0.0,0.0,,218663230265855.2,0.0,0.0,,,0.0,0.0
205317574480543.6,205317574480543.6,0.0,0.0,,205317574480543.6,0.0,0.0,,,0.0,0.0
309847870078298.4,309847870078298.4,0.0,0.0,,309847870078298.4,0.0,0.0,,,0.0,0.0
289607088288330.9,289607088288330.9,0.0,0.0,,289607088288330.9,0.0,0.0,,,0.0,0.0
230132947963462.3,230132947963462.3,0.0,0.0,,230132947963462.3,0.0,0.0,,,0.0,0.0
121944909506363.36,121944909506363.36,0.0,0.0,,121944909506363.36,0.0,0.0,,,0.0,0.0
245741508199610.03,245741508199610.03,0.0,0.0,,245741508199610.03,0.0,0.0,,,0.0,0.0
333423922758333.8,333423922758333.8,0.0,0.0,,333423922758333.8,0.0,0.0,,,0.0,0.0
197735598669896.6,197735598669896.6,0.0,0.0,,197735598669896.6,0.0,0.0,,,0.0,0.0
