GMP,log_Ms,m_%Ms_ip,e+,e-
3254,9.92,6.048785761349141,18.05587325427268,5.265437363114923
3269,9.98,10.749138554321107,8.903479120717279,9.770254865139972
3291,9.92,8.449949788030153,8.029014134643418,5.953316610542981
3352,10.62,0.33644844080571445,37.649174067148905,0.7446651957523369
3367,10.65,2.7867640521270776,32.55719622928553,2.03537546775874
3414,10.73,22.8144975760494,13.241023572474422,16.353496446961845
3484,10.11,4.267095383734787,18.197286514540465,3.945860084363377
3534,9.67,12.986559837944045,20.374046575861506,11.553967912010348
3565,9.29,8.455668730967808,29.191687033828863,6.167409845931552
3639,10.6,1.378880907947877,33.38790772411562,1.3441989881268581
3664,10.82,5.099843196880455,18.022255707160333,5.439784092136286
