GMP,n_sat,n_int,int_frac,int_frac_percentage
3254,100.0,1.0,0.009900990099009901,0.9900990099009901
3269,82.0,0.0,0.0,0.0
3291,116.0,1.0,0.008547008547008548,0.8547008547008548
3329,875.0,0.0,0.0,0.0
3352,41.0,1.0,0.023809523809523808,2.380952380952381
3367,27.0,1.0,0.03571428571428571,3.571428571428571
3414,38.0,0.0,0.0,0.0
3484,113.0,0.0,0.0,0.0
3534,161.0,5.0,0.030120481927710843,3.0120481927710845
3565,183.0,5.0,0.026595744680851064,2.6595744680851063
3639,24.0,1.0,0.04,4.0
3664,68.0,0.0,0.0,0.0
