GMP,n_sat,n_int,int_frac,int_frac_percentage
3254,100.0,1.0,0.009900990099009901,0.9900990099009901
3269,86.0,0.0,0.0,0.0
3291,116.0,1.0,0.008547008547008548,0.8547008547008548
3329,79.0,0.0,0.0,0.0
3352,56.0,1.0,0.017543859649122806,1.7543859649122806
3367,51.0,1.0,0.019230769230769232,1.9230769230769231
3414,61.0,0.0,0.0,0.0
3484,113.0,0.0,0.0,0.0
3534,165.0,5.0,0.029411764705882353,2.941176470588235
3565,181.0,5.0,0.026881720430107527,2.6881720430107525
3639,44.0,2.0,0.043478260869565216,4.3478260869565215
3664,108.0,2.0,0.01818181818181818,1.8181818181818181
