GMP,n_sat,n_int,int_frac,int_frac_percentage
3254,88.0,1.0,0.011235955056179775,1.1235955056179776
3269,76.0,0.0,0.0,0.0
3291,116.0,1.0,0.008547008547008548,0.8547008547008548
3329,686.0,0.0,0.0,0.0
3352,45.0,1.0,0.021739130434782608,2.1739130434782608
3367,39.0,1.0,0.025,2.5
3414,36.0,0.0,0.0,0.0
3484,132.0,0.0,0.0,0.0
3534,179.0,3.0,0.016483516483516484,1.6483516483516485
3565,162.0,4.0,0.024096385542168676,2.4096385542168677
3639,43.0,1.0,0.022727272727272728,2.272727272727273
3664,71.0,0.0,0.0,0.0
