GMP,n_sat,n_int,int_frac,int_frac_percentage
3254,61.0,1.0,0.016129032258064516,1.6129032258064515
3269,50.0,0.0,0.0,0.0
3291,69.0,1.0,0.014285714285714285,1.4285714285714286
3329,455.0,0.0,0.0,0.0
3352,26.0,1.0,0.037037037037037035,3.7037037037037033
3367,19.0,1.0,0.05,5.0
3414,15.0,0.0,0.0,0.0
3484,85.0,0.0,0.0,0.0
3534,129.0,1.0,0.007692307692307693,0.7692307692307693
3565,109.0,3.0,0.026785714285714284,2.6785714285714284
3639,22.0,1.0,0.043478260869565216,4.3478260869565215
3664,36.0,0.0,0.0,0.0
