GMP,n_sat,n_int,int_frac,int_frac_percentage
3254,72.0,2.0,0.02702702702702703,2.7027027027027026
3269,51.0,0.0,0.0,0.0
3291,82.0,0.0,0.0,0.0
3329,5.0,0.0,0.0,0.0
3352,49.0,0.0,0.0,0.0
3367,50.0,2.0,0.038461538461538464,3.8461538461538463
3414,41.0,0.0,0.0,0.0
3484,119.0,1.0,0.008333333333333333,0.8333333333333334
3534,111.0,1.0,0.008928571428571428,0.8928571428571428
3565,50.0,1.0,0.0196078431372549,1.9607843137254901
3639,77.0,1.0,0.01282051282051282,1.282051282051282
3664,68.0,1.0,0.014492753623188406,1.4492753623188406
