#z                       tff_rvir/Gyr             tff_2p5rvir/Gyr
0.000000000000000000e+00 2.066316438422001855e+00 5.783125118673905440e+00
5.517241379310345445e-02 1.967555205839490950e+00 5.506716068114695162e+00
1.103448275862069089e-01 1.873741751315370907e+00 5.244154664043239045e+00
1.655172413793103703e-01 1.784986427618951543e+00 4.995749757446852790e+00
2.206896551724138178e-01 1.701260703123534501e+00 4.761421495131721748e+00
2.758620689655172931e-01 1.622439418623702778e+00 4.540819586439930333e+00
3.310344827586207406e-01 1.548333907499420237e+00 4.333415998661143576e+00
3.862068965517241881e-01 1.478716953466853168e+00 4.138574807803288458e+00
4.413793103448276356e-01 1.413340967488278643e+00 3.955603071412565619e+00
4.965517241379310831e-01 1.351950807951187716e+00 3.783786709186132136e+00
5.517241379310345861e-01 1.294292525302645824e+00 3.622414977110561374e+00
6.068965517241380336e-01 1.240119097147734495e+00 3.470796518629633898e+00
6.620689655172414811e-01 1.189193996214227722e+00 3.328269350523438863e+00
7.172413793103449287e-01 1.141293232730287821e+00 3.194206579034682303e+00
7.724137931034483762e-01 1.096206346291513700e+00 3.068019175867142234e+00
8.275862068965518237e-01 1.053736691279472781e+00 2.949156777003822949e+00
8.827586206896552712e-01 1.013701260456550513e+00 2.837107188991162765e+00
9.379310344827587187e-01 9.759302178893611845e-01 2.731395081703458239e+00
9.931034482758621662e-01 9.402662591732388053e-01 2.631580197764353368e+00
1.048275862068965614e+00 9.065638790615758724e-01 2.537255302816656677e+00
1.103448275862069172e+00 8.746885999934750355e-01 2.448044026355898684e+00
1.158620689655172509e+00 8.445161965219358802e-01 2.363598691090465387e+00
1.213793103448276067e+00 8.159319379215703716e-01 2.283598193181885172e+00
1.268965517241379404e+00 7.888298625816069221e-01 2.207745971444526223e+00
1.324137931034482962e+00 7.631120919343541420e-01 2.135768087195585530e+00
1.379310344827586299e+00 7.386881877595105061e-01 2.067411425503686395e+00
1.434482758620689857e+00 7.154745541306061218e-01 2.002442021380118842e+00
1.489655172413793194e+00 6.933938836078604728e-01 1.940643509805206834e+00
1.544827586206896752e+00 6.723746462395392420e-01 1.881815695565419944e+00
1.600000000000000089e+00 6.523506193106368700e-01 1.825773237132493287e+00
