"v (km/s)" BF[g(v)]
-1003.98 3.77054e-06
-979.531 7.45861e-12
-955.082 1.70268e-06
-930.63 1.17231e-06
-906.177 4.21218e-08
-881.722 1.62935e-05
-857.265 2.88348e-05
-832.805 2.58666e-07
-808.344 2.16342e-08
-783.881 1.02793e-08
-759.416 6.15397e-07
-734.949 1.42788e-06
-710.479 1.29957e-06
-686.008 8.25185e-07
-661.535 1.78808e-08
-637.06 2.43746e-06
-612.582 2.99561e-10
-588.103 7.42215e-06
-563.622 0.00120893
-539.139 0.00206165
-514.653 0.000815322
-490.166 1.43411e-05
-465.677 7.53024e-07
-441.186 7.54037e-07
-416.692 6.19133e-07
-392.197 6.01164e-08
-367.7 2.69912e-05
-343.2 0.00182895
-318.699 0.00665414
-294.196 0.0134716
-269.691 0.0207262
-245.183 0.0279158
-220.674 0.0357295
-196.163 0.0434818
-171.649 0.0518501
-147.134 0.0600103
-122.617 0.0667535
-98.0974 0.0728234
-73.5761 0.0772027
-49.0527 0.0787581
-24.5274 0.0771946
-2.66269e-10 0.0725187
24.5294 0.0653001
49.0607 0.0567183
73.5941 0.0484522
98.1295 0.040155
122.667 0.0302701
147.206 0.0190233
171.748 0.00806421
196.291 0.000959201
220.837 8.43935e-06
245.384 1.4329e-05
269.933 0.000137413
294.485 0.00157372
319.038 0.00406507
343.594 0.00464451
368.151 0.0026985
392.711 0.000326658
417.272 1.56568e-06
441.836 7.40932e-06
466.401 2.4831e-06
490.969 1.11019e-06
515.538 1.57693e-06
540.11 6.96034e-08
564.683 0.000549924
589.259 0.00239915
613.837 0.00187175
638.416 0.000286392
662.998 2.6796e-07
687.581 2.96676e-07
712.167 8.68154e-07
736.755 4.10261e-07
761.344 1.79012e-06
785.936 1.76718e-06
810.53 6.16172e-09
835.125 5.71426e-05
859.723 0.000847482
884.323 0.000426968
908.924 7.00957e-06
933.528 4.56911e-07
958.134 8.51941e-07
982.742 2.46962e-06
1007.35 5.92722e-06
