Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4051.13,0.690315,0.30111,0.0,0.834999
4051.46,0.690952,0.353963,0.0,0.835154
4051.79,0.692726,0.405108,0.0,0.83531
4052.13,0.695808,0.452575,0.0,0.835465
4052.46,0.699664,0.495255,0.0,0.83562
4052.79,0.703652,0.532811,0.0,0.835775
4053.12,0.706492,0.564399,0.0,0.835931
4053.45,0.706374,0.590024,0.0,0.836086
4053.78,0.701857,0.610234,0.0,0.836242
4054.12,0.693902,0.625048,0.0,0.836397
4054.45,0.684385,0.634927,0.0,0.836553
4054.78,0.67483,0.639828,0.0,0.836708
4055.11,0.665825,0.640061,0.0,0.836864
4055.44,0.657804,0.637054,0.0,0.837019
4055.77,0.651169,0.632988,0.0,0.837175
4056.11,0.646274,0.62919,0.0,0.837331
4056.44,0.643378,0.625779,0.0,0.837487
4056.77,0.641804,0.622883,0.0,0.837642
4057.1,0.640349,0.620668,0.0,0.837798
4057.43,0.638189,0.619336,0.0,0.837954
4057.77,0.636012,0.619622,0.0,0.838111
4058.1,0.634871,0.621948,0.0,0.838267
4058.43,0.635246,0.624828,0.0,0.838423
4058.76,0.636632,0.627865,0.0,0.83858
4059.09,0.638417,0.63158,0.0,0.838736
4059.43,0.639794,0.635499,1.37717,0.838893
4059.76,0.639804,0.639042,1.38141,0.839049
4060.09,0.637751,0.641603,1.39077,0.839206
4060.42,0.634512,0.642634,1.40097,0.839363
4060.76,0.631529,0.641754,1.41081,0.83952
4061.09,0.62955,0.63881,1.41833,0.839678
4061.42,0.627598,0.6339,1.42591,0.839835
4061.75,0.624468,0.627349,1.43399,0.839992
4062.08,0.619744,0.619671,1.44268,0.84015
4062.42,0.613898,0.611493,1.45144,0.840308
4062.75,0.607473,0.60341,1.45894,0.840466
4063.08,0.601219,0.595985,1.46605,0.840624
4063.41,0.595993,0.58969,1.47304,0.840782
4063.75,0.592397,0.584853,1.47622,0.840941
4064.08,0.590126,0.581667,1.4794,0.841099
4064.41,0.588683,0.580218,1.48447,0.841258
4064.74,0.588054,0.580493,1.49333,0.841417
4065.08,0.588975,0.582433,1.50227,0.841576
4065.41,0.592182,0.585946,1.50096,0.841735
4065.74,0.597538,0.590918,1.4936,0.841895
4066.07,0.604284,0.59721,1.4863,0.842054
4066.41,0.611658,0.604639,1.47036,0.842214
4066.74,0.618956,0.61295,1.45398,0.842374
4067.07,0.625492,0.621789,1.4392,0.842535
4067.41,0.630942,0.63069,1.42941,0.842695
4067.74,0.635741,0.63912,1.41972,0.842856
4068.07,0.640387,0.646525,1.41176,0.843017
4068.4,0.644537,0.652412,1.40538,0.843178
4068.74,0.647035,0.656427,1.39905,0.84334
4069.07,0.646901,0.658418,1.39923,0.843501
4069.4,0.644633,0.658454,1.40093,0.843663
4069.74,0.641376,0.656802,1.40299,0.843825
4070.07,0.638213,0.65387,1.40808,0.843988
4070.4,0.636049,0.65015,1.4132,0.84415
4070.73,0.635734,0.646158,1.41595,0.844313
4071.07,0.637257,0.642363,1.41517,0.844476
4071.4,0.639496,0.639162,1.41439,0.84464
4071.73,0.641287,0.636847,1.4105,0.844804
4072.07,0.641757,0.635581,1.40532,0.844968
4072.4,0.640205,0.635378,1.40016,0.845132
4072.73,0.636438,0.636094,1.40176,0.845296
4073.07,0.632286,0.63745,1.40336,0.845461
4073.4,0.630073,0.639053,1.40389,0.845626
4073.73,0.631012,0.640454,1.40194,0.845792
4074.07,0.634442,0.641206,1.4,0.845958
4074.4,0.639452,0.640928,1.39524,0.846124
4074.73,0.644148,0.63935,1.38865,0.84629
4075.07,0.645881,0.636349,1.3821,0.846457
4075.4,0.642652,0.631959,1.38566,0.846624
4075.73,0.636101,0.626383,1.39037,0.846791
4076.07,0.629087,0.619983,1.39555,0.846959
4076.4,0.623557,0.61326,1.40254,0.847127
4076.73,0.619423,0.606816,1.40958,0.847295
4077.07,0.616336,0.601308,1.41491,0.847464
4077.4,0.614316,0.597382,1.4185,0.847633
4077.73,0.613748,0.595589,1.42211,0.847802
4078.07,0.614911,0.596316,1.42127,0.847972
4078.4,0.617216,0.599731,1.41936,0.848142
4078.74,0.619684,0.605768,1.4167,0.848312
4079.07,0.622049,0.614118,1.40785,0.848483
4079.4,0.626109,0.624278,1.39909,0.848654
4079.74,0.633974,0.635617,1.3885,0.848826
4080.07,0.645438,0.647437,1.37533,0.848998
4080.4,0.657372,0.659037,1.36234,0.84917
4080.74,0.666643,0.66977,1.35218,0.849343
4081.07,0.671969,0.679098,1.34317,0.849516
4081.41,0.673113,0.686618,1.33434,0.849689
4081.74,0.670572,0.692082,1.32996,0.849863
4082.07,0.667551,0.695417,1.32559,0.850038
4082.41,0.667864,0.696726,1.32041,0.850212
4082.74,0.673052,0.696268,1.31353,0.850388
4083.08,0.681041,0.694436,1.30671,0.850563
4083.41,0.689505,0.691717,1.29881,0.850739
4083.74,0.697069,0.688648,1.29033,0.850916
4084.08,0.703025,0.685769,1.28194,0.851092
4084.41,0.706772,0.683573,1.27932,0.85127
4084.75,0.708143,0.682474,1.2771,0.851448
4085.08,0.707106,0.682772,1.27643,0.851626
4085.42,0.704302,0.684634,1.28055,0.851805
4085.75,0.701706,0.688084,1.2847,0.851984
4086.08,0.70135,0.693019,1.2881,0.852163
4086.42,0.703395,0.699213,1.29087,0.852343
4086.75,0.706366,0.70635,1.29365,0.852524
4087.09,0.708952,0.714051,1.29116,0.852705
4087.42,0.711196,0.721903,1.2878,0.852886
4087.76,0.713654,0.729488,1.28412,0.853068
4088.09,0.716737,0.736406,1.27876,0.853251
4088.42,0.720503,0.742301,1.27343,0.853434
4088.76,0.724935,0.74689,1.26973,0.853617
4089.09,0.729554,0.749978,1.2678,0.853801
4089.43,0.73339,0.751497,1.26586,0.853986
4089.76,0.735649,0.751514,1.26593,0.854171
4090.1,0.737115,0.750221,1.26653,0.854356
4090.43,0.739303,0.747892,1.26658,0.854542
4090.77,0.743078,0.744838,1.26153,0.854729
4091.1,0.747345,0.741354,1.2565,0.854916
4091.44,0.750654,0.737675,1.25423,0.855104
4091.77,0.752039,0.733946,1.25593,0.855292
4092.11,0.751151,0.73022,1.25763,0.85548
4092.44,0.747663,0.726477,1.26866,0.85567
4092.78,0.741078,0.72264,1.28354,0.855859
4093.11,0.73081,0.718596,1.29881,0.85605
4093.45,0.717043,0.714212,1.31826,0.856241
4093.78,0.70279,0.709365,1.33814,0.856432
4094.12,0.691659,0.703962,1.3547,0.856624
4094.45,0.684918,0.697962,1.3643,0.856817
4094.79,0.680306,0.691401,1.374,0.85701
4095.12,0.675406,0.684395,1.38192,0.857204
4095.46,0.669414,0.677123,1.38892,0.857398
4095.79,0.662589,0.669791,1.39598,0.857593
