"v (km/s)" BF[g(v)]
-1003.98 5.16588e-10
-979.531 4.11824e-07
-955.082 3.50668e-05
-930.63 0.000187266
-906.177 0.000319602
-881.722 0.000363814
-857.265 0.000485725
-832.805 0.000993592
-808.344 0.00203739
-783.881 0.00250317
-759.416 0.00150975
-734.949 0.000244244
-710.479 1.60774e-06
-686.008 1.80429e-09
-661.535 2.16938e-07
-637.06 3.77462e-06
-612.582 9.30905e-06
-588.103 1.18091e-05
-563.622 1.14183e-05
-539.139 7.98378e-06
-514.653 2.23219e-06
-490.166 1.81049e-08
-465.677 1.82629e-08
-441.186 0.000103192
-416.692 0.00159223
-392.197 0.00338407
-367.7 0.00325296
-343.2 0.00150842
-318.699 0.000304005
-294.196 0.000352524
-269.691 0.00517561
-245.183 0.019543
-220.674 0.0394701
-196.163 0.0559663
-171.649 0.0668801
-147.134 0.0697385
-122.617 0.0678003
-98.0974 0.0662073
-73.5761 0.0682352
-49.0527 0.0736601
-24.5274 0.0795185
-2.66269e-10 0.0833756
24.5294 0.0804951
49.0607 0.0693321
73.5941 0.0514634
98.1295 0.0329452
122.667 0.0159473
147.206 0.00428825
171.748 0.00143111
196.291 0.00242406
220.837 0.00459709
245.384 0.00533065
269.933 0.00357519
294.485 0.0011403
319.038 0.000115356
343.594 4.76285e-06
368.151 1.4948e-07
392.711 7.88007e-09
417.272 6.5631e-09
441.836 5.07423e-08
466.401 1.19401e-07
490.969 4.22441e-08
515.538 3.37969e-10
540.11 5.09969e-10
564.683 1.75726e-08
589.259 3.14842e-06
613.837 0.00017332
638.416 0.0011402
662.998 0.00119436
687.581 0.000192191
712.167 4.40375e-07
736.755 2.20996e-10
761.344 1.13202e-10
785.936 1.77103e-10
810.53 6.24821e-09
835.125 2.02405e-07
859.723 3.93561e-06
884.323 5.98465e-06
908.924 2.78942e-06
933.528 1.38625e-06
958.134 7.70372e-06
982.742 0.00146122
1007.35 0.00792514
