"v (km/s)" BF[g(v)]
-1003.98 0.00656163
-979.531 0.000434464
-955.082 1.40839e-05
-930.63 2.00618e-06
-906.177 2.83354e-05
-881.722 0.000243952
-857.265 0.000971862
-832.805 0.00198575
-808.344 0.00223928
-783.881 0.00153812
-759.416 0.00075112
-734.949 0.000342382
-710.479 0.0002212
-686.008 0.000268938
-661.535 0.000516855
-637.06 0.00106455
-612.582 0.00192009
-588.103 0.00269158
-563.622 0.00316669
-539.139 0.00346976
-514.653 0.00387447
-490.166 0.00458705
-465.677 0.00570231
-441.186 0.00724506
-416.692 0.00924022
-392.197 0.0117682
-367.7 0.0148293
-343.2 0.0181968
-318.699 0.0215094
-294.196 0.0245586
-269.691 0.0275331
-245.183 0.0309664
-220.674 0.0353231
-196.163 0.0403372
-171.649 0.0447188
-147.134 0.0469749
-122.617 0.0466242
-98.0974 0.0445628
-73.5761 0.042506
-49.0527 0.0420491
-24.5274 0.0436546
-2.66269e-10 0.0461022
24.5294 0.0470675
49.0607 0.0446946
73.5941 0.039115
98.1295 0.03254
122.667 0.0275967
147.206 0.0253515
171.748 0.0247018
196.291 0.0233671
220.837 0.0197339
245.384 0.0143181
269.933 0.00934316
294.485 0.00635397
319.038 0.00519388
343.594 0.00514448
368.151 0.00546714
392.711 0.00533895
417.272 0.00433344
441.836 0.00288268
466.401 0.00169523
490.969 0.00102528
515.538 0.000752965
540.11 0.000747442
564.683 0.00103117
589.259 0.00203801
613.837 0.00473402
638.416 0.00154184
662.998 0.000507787
687.581 0.000224679
712.167 0.000148789
736.755 0.000130703
761.344 0.000109302
785.936 5.51544e-05
810.53 8.56361e-06
835.125 2.81714e-07
859.723 3.96618e-06
884.323 4.96917e-06
908.924 4.07793e-06
933.528 1.62243e-06
958.134 2.37797e-06
982.742 0.00011439
1007.35 0.00120423
