Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4051.13,0.586472,0.280316,0.0,0.933284
4051.46,0.585602,0.299921,0.0,0.932667
4051.79,0.584716,0.319645,0.0,0.932051
4052.13,0.583937,0.339604,0.0,0.931435
4052.46,0.583619,0.359453,0.0,0.930819
4052.79,0.584122,0.378435,0.0,0.930203
4053.12,0.585473,0.395977,0.0,0.929588
4053.45,0.587421,0.412202,0.0,0.928973
4053.78,0.589641,0.427831,0.0,0.928358
4054.12,0.591389,0.443512,0.0,0.927743
4054.45,0.591764,0.459067,0.0,0.927129
4054.78,0.590313,0.473318,0.0,0.926516
4055.11,0.587765,0.485007,0.0,0.925902
4055.44,0.585021,0.493993,0.0,0.92529
4055.77,0.582342,0.50137,0.0,0.924678
4056.11,0.579216,0.508546,0.0,0.924066
4056.44,0.575185,0.516364,0.0,0.923456
4056.77,0.570748,0.524542,0.0,0.922846
4057.1,0.566944,0.531728,0.0,0.922237
4057.43,0.564555,0.536586,0.0,0.921629
4057.77,0.563318,0.539031,0.0,0.921021
4058.1,0.562718,0.540128,0.0,0.920415
4058.43,0.562226,0.541141,0.0,0.919809
4058.76,0.561295,0.543097,0.0,0.919205
4059.09,0.559409,0.546541,0.0,0.918601
4059.43,0.556609,0.550193,8.94913,0.917999
4059.76,0.553378,0.550347,8.98582,0.917398
4060.09,0.550196,0.548879,9.02287,0.916798
4060.42,0.547437,0.546995,9.06017,0.9162
4060.76,0.545435,0.545219,9.09198,0.915602
4061.09,0.544549,0.544022,9.095,0.915006
4061.42,0.545201,0.54385,9.09802,0.914412
4061.75,0.547771,0.544581,9.09079,0.913819
4062.08,0.551231,0.544997,9.07142,0.913227
4062.42,0.552974,0.544182,9.05211,0.912637
4062.75,0.550702,0.542724,9.09947,0.912048
4063.08,0.545547,0.541274,9.16986,0.911461
4063.41,0.540411,0.540028,9.23844,0.910876
4063.75,0.537554,0.539067,9.2467,0.910293
4064.08,0.536901,0.538864,9.25497,0.909711
4064.41,0.537862,0.544979,9.2512,0.909131
4064.74,0.539848,0.544594,9.22358,0.908553
4065.08,0.542274,0.544426,9.19607,0.907977
4065.41,0.544583,0.544517,9.16242,0.907403
4065.74,0.546608,0.544925,9.12527,0.90683
4066.07,0.548457,0.545694,9.08835,0.90626
4066.41,0.550224,0.54681,9.05897,0.905692
4066.74,0.55189,0.54819,9.03035,0.905126
4067.07,0.553403,0.549707,9.00526,0.904562
4067.41,0.554704,0.551238,8.99246,0.904001
4067.74,0.555723,0.552677,8.97968,0.903442
4068.07,0.556397,0.553956,8.97233,0.902885
4068.4,0.556863,0.555061,8.97011,0.90233
4068.74,0.557456,0.556034,8.96789,0.901778
4069.07,0.558434,0.556934,8.96091,0.901229
4069.4,0.559474,0.557808,8.95283,0.900681
4069.74,0.559999,0.558678,8.94597,0.900137
4070.07,0.559711,0.55954,8.94933,0.899595
4070.4,0.559134,0.56036,8.95268,0.899056
4070.73,0.558929,0.561084,8.95918,0.898519
4071.07,0.559305,0.561675,8.97033,0.897985
4071.4,0.559889,0.562133,8.9815,0.897454
4071.73,0.56033,0.562485,8.97282,0.896926
4072.07,0.560896,0.562755,8.95574,0.8964
4072.4,0.56222,0.56297,8.93871,0.895878
4072.73,0.564762,0.563139,8.90113,0.895358
4073.07,0.568275,0.563248,8.86379,0.894842
4073.4,0.572332,0.563283,8.83334,0.894329
4073.73,0.576229,0.563257,8.81854,0.893818
4074.07,0.578791,0.563222,8.80378,0.893311
4074.4,0.578862,0.563254,8.82225,0.892808
4074.73,0.576255,0.563429,8.86312,0.892307
4075.07,0.571532,0.563796,8.90427,0.89181
4075.4,0.565435,0.564357,8.97452,0.891316
4075.73,0.559579,0.565075,9.04886,0.890825
4076.07,0.55587,0.565889,9.10999,0.890338
4076.4,0.555302,0.566771,9.11519,0.889854
4076.73,0.556829,0.567754,9.1204,0.889374
4077.07,0.559164,0.568918,9.1147,0.888898
4077.4,0.561686,0.570345,9.09823,0.888425
4077.73,0.564443,0.572117,9.08181,0.887956
4078.07,0.567485,0.574264,9.03468,0.88749
4078.4,0.570669,0.57674,8.98052,0.887028
4078.74,0.57377,0.579456,8.92992,0.88657
4079.07,0.576666,0.58234,8.90521,0.886116
