"v (km/s)" BF[g(v)]
-1020.23 2.09437e-05
-993.072 0.000211136
-965.909 0.00131359
-938.743 0.00373193
-911.574 0.00446341
-884.403 0.00242647
-857.23 0.000677449
-830.054 0.000149158
-802.875 3.53412e-05
-775.694 8.30192e-06
-748.511 1.7443e-06
-721.325 3.76122e-07
-694.137 1.46173e-07
-666.946 3.65763e-06
-639.753 3.28374e-05
-612.557 0.000161714
-585.359 0.00047498
-558.158 0.000855889
-530.955 0.000993645
-503.75 0.000824094
-476.542 0.000587986
-449.331 0.000470564
-422.118 0.000537369
-394.903 0.000934853
-367.685 0.00226072
-340.464 0.00618859
-313.241 0.0138997
-286.016 0.0234116
-258.788 0.0314788
-231.558 0.0366595
-204.325 0.0404459
-177.09 0.0458577
-149.852 0.054935
-122.612 0.0665531
-95.369 0.0769643
-68.1238 0.0820031
-40.8761 0.0799583
-13.626 0.072946
13.6266 0.0651944
40.8817 0.0596833
68.1393 0.0559832
95.3993 0.0510653
122.662 0.0421585
149.927 0.0294162
177.194 0.0165549
204.464 0.00816188
231.737 0.00468652
259.012 0.00333703
286.289 0.00273199
313.569 0.0025125
340.851 0.00233418
368.136 0.00168202
395.424 0.000585994
422.713 2.9045e-05
450.006 4.63535e-06
477.3 9.97772e-07
504.598 1.30846e-08
531.897 1.94366e-08
559.2 1.3559e-07
586.504 1.35996e-07
613.811 1.31813e-07
641.121 1.42247e-07
668.433 9.26795e-08
695.748 1.65921e-08
723.065 2.66027e-08
750.385 6.07099e-08
777.707 7.00321e-08
805.031 8.05851e-08
832.358 1.16177e-07
859.688 1.11103e-07
887.02 3.48103e-10
914.354 4.03299e-08
941.691 3.43508e-05
969.031 0.000369588
996.373 0.000657459
1023.72 0.000313974
