Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4050.37,0.661231,0.3188,0.0,0.814686
4050.74,0.674179,0.384608,0.0,0.815684
4051.1,0.681558,0.446099,0.0,0.816682
4051.47,0.682124,0.503326,0.0,0.81768
4051.84,0.677349,0.554823,0.0,0.818677
4052.21,0.669014,0.597091,0.0,0.819674
4052.58,0.659388,0.626275,0.0,0.820671
4052.95,0.651152,0.641158,0.0,0.821667
4053.31,0.646646,0.645103,0.0,0.822662
4053.68,0.646018,0.644164,0.0,0.823657
4054.05,0.648571,0.641287,0.0,0.824651
4054.42,0.652254,0.637597,0.0,0.825644
4054.79,0.65145,0.633686,0.0,0.826636
4055.16,0.64024,0.629865,0.0,0.827626
4055.53,0.622108,0.626343,0.0,0.828616
4055.89,0.611905,0.623304,0.0,0.829604
4056.26,0.622789,0.620924,0.0,0.83059
4056.63,0.644568,0.619394,0.0,0.831575
4057.0,0.653809,0.618912,0.0,0.832559
4057.37,0.635138,0.61966,0.0,0.833541
4057.74,0.605735,0.621758,0.0,0.83452
4058.11,0.590678,0.625196,0.0,0.835499
4058.48,0.600322,0.629764,0.0,0.836475
4058.85,0.619498,0.635018,0.0,0.837448
4059.21,0.631298,0.640313,0.0,0.83842
4059.58,0.631837,0.644886,0.24149,0.83939
4059.95,0.62776,0.647988,0.241757,0.840357
4060.32,0.625206,0.649017,0.241852,0.841321
4060.69,0.625512,0.647623,0.241922,0.842283
4061.06,0.628258,0.643736,0.242048,0.843242
4061.43,0.631287,0.637571,0.242462,0.844199
4061.8,0.628142,0.629599,0.242877,0.845153
4062.17,0.61209,0.620518,0.24405,0.846103
4062.54,0.587419,0.611174,0.246153,0.847051
4062.91,0.570851,0.602456,0.248284,0.847996
4063.28,0.577231,0.595186,0.247366,0.848937
4063.65,0.59893,0.590013,0.245425,0.849875
4064.01,0.616624,0.587322,0.243529,0.850809
4064.38,0.616774,0.586355,0.24219,0.85174
4064.75,0.606818,0.587709,0.240862,0.852667
4065.12,0.598768,0.591171,0.239271,0.853591
4065.49,0.599002,0.59643,0.237156,0.854511
4065.86,0.605145,0.603121,0.235068,0.855427
4066.23,0.614171,0.610851,0.234009,0.856338
4066.6,0.624544,0.619215,0.233551,0.857246
4066.97,0.63579,0.627784,0.233095,0.85815
4067.34,0.647369,0.636091,0.23261,0.859049
4067.71,0.658268,0.643632,0.232124,0.859944
4068.08,0.667319,0.649912,0.231733,0.860834
4068.45,0.672765,0.654509,0.231677,0.86172
4068.82,0.671582,0.657145,0.231622,0.862601
4069.19,0.660885,0.657746,0.23206,0.863477
4069.56,0.64426,0.656469,0.232972,0.864349
4069.93,0.631545,0.653682,0.233888,0.865215
4070.3,0.631295,0.649924,0.233224,0.866076
4070.67,0.641004,0.645842,0.232194,0.866933
4071.04,0.653351,0.642102,0.231161,0.867784
4071.41,0.662504,0.639299,0.230056,0.868629
4071.78,0.667024,0.637845,0.228958,0.86947
4072.15,0.666298,0.637882,0.229065,0.870304
4072.52,0.660846,0.639221,0.230942,0.871133
4072.89,0.652643,0.641372,0.232843,0.871956
4073.26,0.64366,0.643658,0.235333,0.872774
4073.63,0.634876,0.645348,0.238105,0.873585
