"v (km/s)" BF[g(v)]
-1003.98 0.00678617
-979.531 0.000531177
-955.082 2.57314e-05
-930.63 3.33791e-06
-906.177 2.75382e-05
-881.722 0.000242757
-857.265 0.000987147
-832.805 0.00200186
-808.344 0.00221633
-783.881 0.00150788
-759.416 0.000752336
-734.949 0.000365915
-710.479 0.000252703
-686.008 0.000304949
-661.535 0.000548608
-637.06 0.0010647
-612.582 0.00183995
-588.103 0.00255643
-563.622 0.00304646
-539.139 0.00341679
-514.653 0.0039047
-490.166 0.00470028
-465.677 0.00590143
-441.186 0.00754136
-416.692 0.00964143
-392.197 0.0122486
-367.7 0.0152973
-343.2 0.0185001
-318.699 0.0215108
-294.196 0.0242301
-269.691 0.0269645
-245.183 0.0302734
-220.674 0.0345736
-196.163 0.0396397
-171.649 0.0443646
-147.134 0.0472967
-122.617 0.0476669
-98.0974 0.0459798
-73.5761 0.0437604
-49.0527 0.0426898
-24.5274 0.0435146
-2.66269e-10 0.0453575
24.5294 0.0461138
49.0607 0.0439029
73.5941 0.0386478
98.1295 0.0323722
122.667 0.0276392
147.206 0.0255239
171.748 0.0249308
196.291 0.0235667
220.837 0.0198551
245.384 0.0143952
269.933 0.00941023
294.485 0.00638107
319.038 0.00512777
343.594 0.00493774
368.151 0.00511952
392.711 0.00495702
417.272 0.00407312
441.836 0.00279627
466.401 0.00171621
490.969 0.00107963
515.538 0.000809701
540.11 0.000800509
564.683 0.00107491
589.259 0.00203421
613.837 0.0045526
638.416 0.00154952
662.998 0.000534444
687.581 0.000241514
712.167 0.000156805
736.755 0.000133192
761.344 0.000109565
785.936 5.59876e-05
810.53 9.45801e-06
835.125 1.14499e-07
859.723 3.19177e-06
884.323 3.83822e-06
908.924 2.49338e-06
933.528 2.98672e-07
958.134 6.80156e-06
982.742 0.000140852
1007.35 0.00123075
