Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4051.13,0.638452,0.298826,0.0,0.937395
4051.46,0.641728,0.330851,0.0,0.936905
4051.79,0.643482,0.362493,0.0,0.936415
4052.13,0.643471,0.392899,0.0,0.935926
4052.46,0.642373,0.421539,0.0,0.935436
4052.79,0.640934,0.448427,0.0,0.934947
4053.12,0.639519,0.473738,0.0,0.934458
4053.45,0.63817,0.497246,0.0,0.933969
4053.78,0.636866,0.518106,0.0,0.933481
4054.12,0.635256,0.535332,0.0,0.932992
4054.45,0.63286,0.548629,0.0,0.932505
4054.78,0.629389,0.558679,0.0,0.932018
4055.11,0.625053,0.566618,0.0,0.931531
4055.44,0.620147,0.573326,0.0,0.931045
4055.77,0.615058,0.579095,0.0,0.930559
4056.11,0.610281,0.583757,0.0,0.930074
4056.44,0.606278,0.58708,0.0,0.92959
4056.77,0.60308,0.589124,0.0,0.929106
4057.1,0.600478,0.590277,0.0,0.928623
4057.43,0.598263,0.591051,0.0,0.928141
4057.77,0.596233,0.591854,0.0,0.92766
4058.1,0.594187,0.592871,0.0,0.927179
4058.43,0.592033,0.593962,0.0,0.9267
4058.76,0.589856,0.594644,0.0,0.926222
4059.09,0.587761,0.594419,0.0,0.925744
4059.43,0.585829,0.593247,10.7552,0.925268
4059.76,0.584125,0.591522,10.7907,0.924793
4060.09,0.582698,0.58934,10.8268,0.924319
4060.42,0.581498,0.586742,10.8632,0.923846
4060.76,0.580442,0.583754,10.8959,0.923374
4061.09,0.579447,0.580487,10.9092,0.922904
4061.42,0.578435,0.577246,10.9224,0.922435
4061.75,0.577327,0.574409,10.9333,0.921967
4062.08,0.576047,0.571837,10.9413,0.921501
4062.42,0.574518,0.568904,10.9493,0.921037
4062.75,0.572661,0.56553,10.9728,0.920574
4063.08,0.570371,0.562234,11.0015,0.920112
4063.41,0.567532,0.559438,11.0313,0.919652
4063.75,0.564253,0.557358,11.0827,0.919194
4064.08,0.561444,0.556312,11.1344,0.918737
4064.41,0.56018,0.558944,11.1627,0.918282
4064.74,0.560848,0.559111,11.1442,0.917829
4065.08,0.562771,0.560074,11.1257,0.917378
4065.41,0.565219,0.561845,11.0818,0.916929
4065.74,0.567933,0.564418,11.0233,0.916481
4066.07,0.570994,0.567742,10.9652,0.916036
4066.41,0.574452,0.571694,10.9194,0.915592
4066.74,0.578156,0.576076,10.8749,0.915151
4067.07,0.581893,0.580636,10.8327,0.914711
4067.41,0.585465,0.585114,10.7982,0.914274
4067.74,0.588704,0.589273,10.7638,0.913839
4068.07,0.591454,0.592931,10.7287,0.913406
4068.4,0.593728,0.59598,10.6928,0.912976
4068.74,0.595702,0.598387,10.6571,0.912548
4069.07,0.597535,0.600172,10.6246,0.912122
4069.4,0.599221,0.601388,10.5929,0.911699
4069.74,0.600681,0.602108,10.5635,0.911278
4070.07,0.601782,0.602424,10.5516,0.910859
4070.4,0.602241,0.60243,10.5398,0.910443
4070.73,0.601755,0.602211,10.5413,0.91003
4071.07,0.600429,0.601839,10.5626,0.909619
4071.4,0.598885,0.601359,10.5839,0.909211
4071.73,0.597757,0.600782,10.5739,0.908806
4072.07,0.597418,0.600086,10.5507,0.908404
4072.4,0.598089,0.599242,10.5275,0.908004
4072.73,0.599794,0.598227,10.506,0.907607
4073.07,0.601764,0.597042,10.4846,0.907213
4073.4,0.603038,0.595721,10.4753,0.906822
4073.73,0.603075,0.594323,10.4944,0.906434
4074.07,0.602046,0.592913,10.5135,0.906049
4074.4,0.600197,0.59154,10.5415,0.905668
4074.73,0.597863,0.590236,10.5756,0.905289
4075.07,0.595445,0.588998,10.6098,0.904913
4075.4,0.593296,0.587818,10.6395,0.904541
4075.73,0.591464,0.58671,10.6687,0.904172
4076.07,0.5899,0.585721,10.6973,0.903806
4076.4,0.588576,0.584949,10.7231,0.903444
4076.73,0.587518,0.584544,10.7491,0.903085
4077.07,0.586761,0.584673,10.774,0.902729
4077.4,0.586365,0.585486,10.7979,0.902377
4077.73,0.586413,0.587103,10.8218,0.902028
4078.07,0.58701,0.589599,10.8204,0.901683
4078.4,0.588404,0.592982,10.8129,0.901342
4078.74,0.590902,0.597199,10.7955,0.901004
4079.07,0.594851,0.602156,10.6969,0.90067
4079.4,0.600705,0.607707,10.5997,0.90034
4079.74,0.60892,0.613652,10.4735,0.900014
4080.07,0.619243,0.619763,10.3069,0.899691
4080.4,0.630529,0.625807,10.1442,0.899372
4080.74,0.641596,0.631566,10.0098,0.899057
4081.07,0.651503,0.636861,9.8875,0.898747
4081.41,0.65944,0.641586,9.76923,0.89844
4081.74,0.664774,0.645703,9.74345,0.898137
4082.07,0.667545,0.649227,9.71776,0.897838
4082.41,0.667951,0.652217,9.71621,0.897544
4082.74,0.666394,0.654757,9.76503,0.897254
4083.08,0.663607,0.656939,9.81423,0.896968
4083.41,0.660347,0.658862,9.86596,0.896686
4083.74,0.657364,0.660649,9.91939,0.896409
4084.08,0.655399,0.662426,9.97326,0.896135
4084.41,0.655098,0.664322,9.97149,0.895867
4084.75,0.656644,0.666464,9.96591,0.895603
4085.08,0.660074,0.668953,9.95183,0.895343
4085.42,0.664821,0.67183,9.91141,0.895088
4085.75,0.669118,0.675083,9.87123,0.894837
4086.08,0.671187,0.678663,9.84204,0.894592
4086.42,0.671627,0.682478,9.82172,0.89435
4086.75,0.673119,0.686411,9.80146,0.894114
4087.09,0.677909,0.690351,9.72492,0.893882
4087.42,0.685106,0.694192,9.64017,0.893656
4087.76,0.692631,0.697823,9.56294,0.893434
4088.09,0.698909,0.701132,9.51831,0.893217
4088.42,0.703602,0.70401,9.47399,0.893005
4088.76,0.70657,0.706353,9.44788,0.892798
4089.09,0.707966,0.708077,9.44151,0.892595
4089.43,0.70826,0.709122,9.43514,0.892399
4089.76,0.707894,0.709466,9.44462,0.892207
4090.1,0.707009,0.70912,9.45843,0.89202
4090.43,0.705606,0.708121,9.47353,0.891839
4090.77,0.703703,0.706519,9.50042,0.891663
4091.1,0.701384,0.704367,9.52742,0.891492
4091.44,0.698742,0.70172,9.55997,0.891326
4091.77,0.695785,0.698619,9.6006,0.891166
4092.11,0.69241,0.695095,9.64149,0.891012
4092.44,0.688535,0.691169,9.68682,0.890863
4092.78,0.684316,0.686862,9.73411,0.890719
4093.11,0.680048,0.682189,9.7829,0.890581
4093.45,0.675812,0.67717,9.86689,0.890449
4093.78,0.670915,0.671824,9.95197,0.890322
4094.12,0.664504,0.666181,10.0444,0.890201
4094.45,0.656622,0.660273,10.1501,0.890086
4094.79,0.648659,0.65414,10.2575,0.889976
4095.12,0.642017,0.647828,10.339,0.889872
4095.46,0.636862,0.641388,10.407,0.889774
4095.79,0.632544,0.634863,10.4757,0.889681
4096.13,0.628406,0.628289,10.5529,0.889593
4096.46,0.623817,0.621695,10.6312,0.889511
4096.8,0.618154,0.615112,10.7208,0.889433
4097.13,0.611208,0.608575,10.8377,0.889361
4097.47,0.603487,0.602124,10.9565,0.889294
4097.8,0.595566,0.595801,11.0824,0.889232
4098.14,0.587906,0.589643,11.214,0.889175
4098.47,0.580875,0.583679,11.348,0.889122
4098.81,0.574772,0.577941,11.4491,0.889074
4099.14,0.569526,0.572473,11.5484,0.889031
4099.48,0.564951,0.567339,11.6452,0.888993
4099.81,0.560773,0.562623,11.7306,0.888958
4100.15,0.556536,0.558424,11.8169,0.888929
4100.48,0.551814,0.554844,11.9021,0.888903
4100.82,0.547031,0.551978,11.9864,0.888882
4101.16,0.543363,0.549902,12.0716,0.888865
4101.49,0.541798,0.548669,12.0824,0.888852
4101.83,0.542068,0.54832,12.0819,0.888843
4102.16,0.54344,0.548882,12.0769,0.888838
4102.5,0.545372,0.550378,12.0524,0.888837
4102.83,0.547763,0.552827,12.028,0.888839
4103.17,0.550579,0.556233,11.9888,0.888846
4103.51,0.553923,0.560561,11.9354,0.888855
4103.84,0.558033,0.565725,11.8825,0.888869
4104.18,0.563119,0.571574,11.7948,0.888886
4104.51,0.569166,0.577897,11.7009,0.888906
4104.85,0.576063,0.584452,11.6032,0.888929
4105.18,0.583662,0.590993,11.4787,0.888956
4105.52,0.591719,0.597315,11.3562,0.888986
4105.86,0.599967,0.603262,11.2342,0.889019
4106.19,0.607992,0.608725,11.1125,0.889054
