"v (km/s)" BF[g(v)]
-1001.26 0.000725681
-995.825 0.000282249
-990.392 0.000134211
-984.959 8.03129e-05
-979.526 6.04693e-05
-974.093 5.55824e-05
-968.66 5.90549e-05
-963.227 6.80624e-05
-957.794 8.03622e-05
-952.361 9.32127e-05
-946.927 0.000103386
-941.494 0.000107309
-936.06 0.000101549
-930.626 8.4422e-05
-925.192 5.8484e-05
-919.758 3.16697e-05
-914.324 1.24449e-05
-908.89 3.14935e-06
-903.456 3.70826e-07
-898.022 2.09625e-10
-892.587 2.9726e-08
-887.153 1.85814e-08
-881.718 1.06546e-09
-876.283 1.92198e-09
-870.848 4.58884e-09
-865.413 3.27466e-09
-859.978 1.28287e-09
-854.543 2.50098e-10
-849.108 5.80801e-13
-843.673 8.93753e-11
-838.237 2.37217e-10
-832.802 3.02457e-10
-827.366 2.42701e-10
-821.93 9.4557e-11
-816.494 6.12495e-13
-811.059 2.6524e-10
-805.623 1.28618e-09
-800.186 3.21052e-09
-794.75 5.54888e-09
-789.314 7.45667e-09
-783.877 8.50623e-09
-778.441 8.83738e-09
-773.004 8.67219e-09
-767.568 7.77724e-09
-762.131 5.33844e-09
-756.694 1.297e-09
-751.257 1.20007e-09
-745.82 1.89463e-08
-740.382 6.22128e-08
-734.945 1.08801e-07
-729.508 1.15243e-07
-724.07 6.15164e-08
-718.633 1.65972e-09
-713.195 7.32347e-08
-707.757 4.05073e-07
-702.319 9.55507e-07
-696.881 1.50144e-06
-691.443 1.82325e-06
-686.005 1.85248e-06
-680.567 1.66295e-06
-675.128 1.3646e-06
-669.69 1.04165e-06
-664.251 7.36293e-07
-658.812 4.69299e-07
-653.374 2.58483e-07
-647.935 1.15734e-07
-642.496 3.99984e-08
-637.057 1.09585e-08
-631.618 3.78974e-09
-626.178 5.53757e-09
-620.739 2.29524e-08
-615.299 1.00351e-07
-609.86 3.84545e-07
-604.42 1.29417e-06
-598.98 3.81651e-06
-593.54 9.72773e-06
-588.1 2.11277e-05
-582.66 3.88558e-05
-577.22 6.07453e-05
-571.78 8.17231e-05
-566.34 9.66709e-05
-560.899 0.000102461
-555.458 9.76856e-05
-550.018 8.28977e-05
-544.577 6.09944e-05
-539.136 3.80772e-05
-533.695 2.05763e-05
-528.254 1.02407e-05
-522.813 5.18092e-06
-517.372 3.01484e-06
-511.93 2.19693e-06
-506.489 2.05287e-06
-501.047 2.42873e-06
-495.606 3.4951e-06
-490.164 5.79196e-06
-484.722 1.04721e-05
-479.28 1.95465e-05
-473.838 3.57495e-05
-468.396 6.18317e-05
-462.954 9.89278e-05
-457.511 0.000145772
-452.069 0.000200243
-446.626 0.000260668
-441.184 0.000328066
-435.741 0.000405861
-430.298 0.000497341
-424.855 0.000603935
-419.412 0.000719235
-413.969 0.000826847
-408.526 0.00090775
-403.082 0.000960199
-397.639 0.00100857
-392.195 0.00109224
-386.752 0.00125294
-381.308 0.00149801
-375.864 0.00178138
-370.42 0.00202697
-364.976 0.00216075
-359.532 0.0021876
-354.088 0.00218283
-348.643 0.00220295
-343.199 0.00228218
-337.754 0.00242981
-332.31 0.00263529
-326.865 0.002887
-321.42 0.00316026
-315.975 0.00342425
-310.53 0.00364545
-305.085 0.00381594
-299.64 0.00396487
-294.195 0.00412307
-288.749 0.0043216
-283.304 0.00457885
-277.858 0.0048872
-272.412 0.00521641
-266.966 0.00550915
-261.521 0.00570816
-256.075 0.00579708
-250.628 0.00584227
-245.182 0.00596359
-239.736 0.00625188
-234.289 0.00673106
-228.843 0.00733645
-223.396 0.00790266
-217.95 0.00827956
-212.503 0.00840219
-207.056 0.00828706
-201.609 0.00809079
-196.162 0.0080596
-190.715 0.00843862
-185.267 0.00936721
-179.82 0.010679
-174.372 0.011655
-168.925 0.0113152
-163.477 0.00958997
-158.029 0.00769185
-152.581 0.00713237
-147.133 0.00999757
-141.685 0.0256776
-136.237 0.0112431
-130.789 0.00813146
-125.34 0.00862998
-119.892 0.0108177
-114.443 0.013243
-108.995 0.0145023
-103.546 0.0143128
-98.097 0.0134882
-92.648 0.0128325
-87.1989 0.012637
-81.7497 0.0128183
-76.3004 0.0131637
-70.851 0.0135172
-65.4015 0.0138087
-59.952 0.0139767
-54.5023 0.0139231
-49.0525 0.0135654
-43.6026 0.0131458
-38.1526 0.0131013
-32.7026 0.0134929
-27.2524 0.0139577
-21.8021 0.0140902
-16.3517 0.0138193
-10.9012 0.0133696
-5.45067 0.0129281
-1.13164e-09 0.0127534
