Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4050.07,0.554338,0.256354,0.0,0.876898
4050.15,0.555278,0.262147,0.0,0.876738
4050.22,0.556221,0.268172,0.0,0.876577
4050.29,0.55717,0.274142,0.0,0.876417
4050.37,0.558118,0.279785,0.0,0.876257
4050.44,0.559063,0.285081,0.0,0.876096
4050.52,0.56,0.290232,0.0,0.875936
4050.59,0.560927,0.29554,0.0,0.875775
4050.66,0.56184,0.301219,0.0,0.875615
4050.74,0.562738,0.307234,0.0,0.875455
4050.81,0.563617,0.313351,0.0,0.875294
4050.88,0.564474,0.319368,0.0,0.875134
4050.96,0.565305,0.325169,0.0,0.874974
4051.03,0.56611,0.330709,0.0,0.874813
4051.1,0.566883,0.335952,0.0,0.874653
4051.18,0.567623,0.340976,0.0,0.874493
4051.25,0.568328,0.34611,0.0,0.874332
4051.33,0.568992,0.351778,0.0,0.874172
4051.4,0.569616,0.358235,0.0,0.874012
4051.47,0.570194,0.36514,0.0,0.873852
4051.55,0.570725,0.371443,0.0,0.873691
4051.62,0.571205,0.376136,0.0,0.873531
4051.69,0.571632,0.379243,0.0,0.873371
4051.77,0.572003,0.381831,0.0,0.873211
4051.84,0.572316,0.386326,0.0,0.873051
4051.91,0.572572,0.401955,1.88951,0.87289
4051.99,0.572772,0.406144,1.89032,0.87273
4052.06,0.572915,0.408474,1.89113,0.87257
4052.14,0.573004,0.41116,1.89194,0.87241
4052.21,0.573038,0.4152,1.89274,0.87225
4052.28,0.573019,0.420652,1.89355,0.87209
4052.36,0.572947,0.426572,1.89436,0.87193
4052.43,0.572823,0.431945,1.89517,0.87177
4052.5,0.572647,0.436467,1.89598,0.87161
4052.58,0.572421,0.440386,1.89679,0.87145
4052.65,0.572145,0.444114,1.89766,0.87129
4052.73,0.57182,0.447936,1.89855,0.87113
4052.8,0.571448,0.451968,1.89944,0.87097
4052.87,0.571032,0.456179,1.90072,0.87081
4052.95,0.57058,0.460483,1.90202,0.870651
4053.02,0.570103,0.464761,1.90331,0.870491
4053.09,0.56961,0.468932,1.90461,0.870331
4053.17,0.569111,0.472968,1.90591,0.870171
4053.24,0.568614,0.47686,1.90721,0.870012
4053.31,0.568129,0.480619,1.90851,0.869852
4053.39,0.567665,0.484296,1.90981,0.869692
4053.46,0.567231,0.487947,1.91111,0.869533
4053.54,0.566837,0.491521,1.91242,0.869373
4053.61,0.566493,0.49499,1.91372,0.869214
4053.68,0.566207,0.498382,1.91501,0.869054
4053.76,0.565989,0.501746,1.9163,0.868895
4053.83,0.565846,0.505021,1.91744,0.868735
4053.9,0.565776,0.508139,1.91837,0.868576
4053.98,0.565765,0.511078,1.9193,0.868417
4054.05,0.565797,0.513887,1.92023,0.868257
4054.13,0.565859,0.516605,1.92117,0.868098
4054.2,0.565935,0.519313,1.9221,0.867939
4054.27,0.566012,0.522041,1.92304,0.86778
4054.35,0.566075,0.524745,1.92397,0.867621
4054.42,0.566109,0.52733,1.92491,0.867462
4054.49,0.5661,0.52975,1.92585,0.867303
4054.57,0.566034,0.531998,1.92679,0.867144
4054.64,0.565896,0.534042,1.92773,0.866985
4054.72,0.565672,0.535942,1.92867,0.866826
4054.79,0.565346,0.537813,1.92961,0.866667
4054.86,0.564905,0.539723,1.93111,0.866508
4054.94,0.564356,0.541652,1.93271,0.866349
4055.01,0.563711,0.543509,1.93433,0.866191
4055.08,0.56298,0.545136,1.93597,0.866032
4055.16,0.562179,0.546435,1.93761,0.865874
4055.23,0.56132,0.547478,1.93925,0.865715
4055.31,0.560415,0.54846,1.9409,0.865557
4055.38,0.559479,0.549544,1.94255,0.865398
4055.45,0.558523,0.550781,1.9442,0.86524
4055.53,0.557562,0.552169,1.94585,0.865082
4055.6,0.556606,0.553617,1.94751,0.864923
4055.67,0.555671,0.555005,1.94916,0.864765
4055.75,0.554768,0.556293,1.95082,0.864607
4055.82,0.553913,0.557467,1.95249,0.864449
4055.9,0.553115,0.558512,1.95419,0.864291
4055.97,0.552373,0.559399,1.95588,0.864133
4056.04,0.551687,0.56017,1.95758,0.863975
4056.12,0.551056,0.56088,1.95929,0.863817
4056.19,0.550476,0.561578,1.96099,0.86366
4056.26,0.549945,0.562297,1.9627,0.863502
4056.34,0.549461,0.563046,1.96441,0.863344
4056.41,0.549021,0.563773,1.96613,0.863187
4056.49,0.548624,0.564378,1.96784,0.863029
4056.56,0.548266,0.5648,1.96956,0.862872
4056.63,0.547946,0.565112,1.97128,0.862715
4056.71,0.547661,0.565393,1.97301,0.862557
4056.78,0.547408,0.565685,1.97473,0.8624
4056.85,0.547187,0.566056,1.97616,0.862243
4056.93,0.546993,0.566568,1.97748,0.862086
4057.0,0.546825,0.567133,1.97881,0.861929
4057.08,0.54668,0.567618,1.97999,0.861772
4057.15,0.546554,0.567996,1.98117,0.861615
4057.22,0.546445,0.568313,1.98236,0.861458
4057.3,0.546351,0.568576,1.98355,0.861302
4057.37,0.546267,0.568778,1.98474,0.861145
4057.44,0.546193,0.568981,1.98593,0.860988
4057.52,0.546123,0.569242,1.98712,0.860832
4057.59,0.546057,0.569519,1.98831,0.860676
4057.67,0.545991,0.56975,1.9895,0.860519
4057.74,0.545922,0.569931,1.99069,0.860363
4057.81,0.545847,0.570088,1.99189,0.860207
4057.89,0.545763,0.570233,1.99307,0.860051
4057.96,0.545669,0.570386,1.99425,0.859895
4058.03,0.545562,0.570556,1.99544,0.859739
4058.11,0.545441,0.570713,1.99661,0.859583
4058.18,0.545303,0.57082,1.99779,0.859427
4058.26,0.545147,0.570901,1.99897,0.859272
4058.33,0.544972,0.570993,2.00015,0.859116
4058.4,0.544775,0.571083,2.00134,0.858961
4058.48,0.544556,0.571156,2.00252,0.858805
4058.55,0.544311,0.571212,2.00371,0.85865
4058.62,0.54404,0.571232,2.00489,0.858495
4058.7,0.543741,0.571186,2.00608,0.85834
4058.77,0.543412,0.571079,2.00727,0.858185
4058.85,0.54305,0.570928,2.00852,0.85803
4058.92,0.542655,0.570721,2.00982,0.857875
4058.99,0.542229,0.570474,2.01112,0.85772
4059.07,0.541773,0.57022,2.0125,0.857566
4059.14,0.541291,0.569983,2.0139,0.857411
4059.21,0.540789,0.569769,2.0153,0.857256
4059.29,0.540269,0.569601,2.0167,0.857102
4059.36,0.539737,0.56948,2.0181,0.856948
4059.44,0.539196,0.569366,2.0195,0.856794
4059.51,0.53865,0.569213,2.0209,0.85664
4059.58,0.538103,0.568994,2.02231,0.856486
4059.66,0.53756,0.568715,2.02372,0.856332
4059.73,0.537024,0.568383,2.02512,0.856178
4059.81,0.5365,0.568035,2.02652,0.856024
4059.88,0.535991,0.567717,2.02774,0.855871
4059.95,0.535501,0.567473,2.02896,0.855717
4060.03,0.535032,0.567274,2.03009,0.855564
4060.1,0.534584,0.567085,2.03104,0.855411
4060.17,0.534156,0.56686,2.032,0.855258
4060.25,0.533748,0.566538,2.03296,0.855104
4060.32,0.533358,0.566058,2.03392,0.854952
4060.4,0.532986,0.565467,2.03488,0.854799
4060.47,0.532631,0.564872,2.03583,0.854646
4060.54,0.532293,0.564354,2.0368,0.854493
4060.62,0.531972,0.563938,2.03776,0.854341
4060.69,0.531665,0.563617,2.03872,0.854189
4060.77,0.531374,0.563326,2.03968,0.854036
4060.84,0.531097,0.562951,2.04078,0.853884
4060.91,0.530833,0.562443,2.042,0.853732
4060.99,0.530582,0.561822,2.04323,0.85358
4061.06,0.530345,0.561138,2.04494,0.853428
4061.13,0.530122,0.560417,2.04675,0.853277
4061.21,0.529914,0.559727,2.04857,0.853125
4061.28,0.529723,0.559093,2.05039,0.852974
4061.36,0.529548,0.558481,2.05221,0.852822
4061.43,0.529392,0.557853,2.05403,0.852671
4061.5,0.529256,0.557209,2.05586,0.85252
4061.58,0.529139,0.556553,2.05769,0.852369
4061.65,0.529044,0.555898,2.05952,0.852218
4061.73,0.52897,0.555289,2.06135,0.852067
4061.8,0.528921,0.554735,2.06319,0.851917
4061.87,0.528895,0.554202,2.06436,0.851766
4061.95,0.528894,0.553673,2.06552,0.851616
4062.02,0.528919,0.553155,2.06591,0.851465
4062.09,0.528968,0.552643,2.06427,0.851315
4062.17,0.52904,0.552124,2.06264,0.851165
4062.24,0.529132,0.55163,2.06101,0.851015
4062.32,0.52924,0.55119,2.05937,0.850866
4062.39,0.529364,0.550819,2.05775,0.850716
4062.46,0.529501,0.550535,2.05612,0.850567
4062.54,0.529648,0.550359,2.05449,0.850417
4062.61,0.529803,0.550247,2.05287,0.850268
4062.69,0.529963,0.550134,2.05125,0.850119
4062.76,0.530128,0.549986,2.04963,0.84997
4062.83,0.530293,0.549795,2.04809,0.849821
4062.91,0.530457,0.549545,2.04664,0.849672
4062.98,0.530617,0.549248,2.04519,0.849524
4063.05,0.530771,0.548971,2.04515,0.849375
4063.13,0.530917,0.548748,2.04561,0.849227
4063.2,0.531054,0.548563,2.04607,0.849079
4063.28,0.53118,0.548378,2.04653,0.848931
4063.35,0.531293,0.54818,2.04699,0.848783
4063.42,0.531391,0.547975,2.04745,0.848635
4063.5,0.531472,0.547856,2.0479,0.848488
4063.57,0.531535,0.548099,2.04836,0.84834
4063.65,0.531578,0.547715,2.04882,0.848193
4063.72,0.531599,0.547413,2.04928,0.848046
4063.79,0.531597,0.547191,2.04974,0.847899
4063.87,0.53157,0.547002,2.0502,0.847752
4063.94,0.531515,0.546775,2.05066,0.847605
4064.01,0.531431,0.546494,2.05112,0.847459
4064.09,0.531318,0.546139,2.05158,0.847312
4064.16,0.531179,0.545715,2.05203,0.847166
4064.24,0.531018,0.545294,2.05249,0.84702
4064.31,0.530837,0.544945,2.05295,0.846874
4064.38,0.530641,0.544676,2.05341,0.846728
4064.46,0.530434,0.544463,2.05387,0.846582
