GMP,log_Ms,log_Mh,int_frac,tinf,tinf+,tinf-,tperi,tperi+,tperi-,%Ms_tinf,%Ms_tinf+,%Ms_tinf-,%Ms_tperi,%Ms_tperi+,%Ms_tperi-
3254,9.92,11.75,0.00,6.75,3.27,2.98,3.09,4.40,3.38,87.12,9.60,26.44,98.03,1.97,14.88
3269,9.98,11.80,0.00,6.90,3.09,3.03,2.73,3.34,3.13,96.63,2.88,12.53,99.88,0.12,2.42
3291,9.92,11.75,0.00,6.99,2.96,2.78,2.97,3.79,3.29,81.24,12.16,25.59,96.91,3.09,14.17
3352,10.62,12.42,4.35,5.30,3.05,1.81,1.95,4.39,1.73,95.73,3.22,14.02,99.98,0.01,7.04
3367,10.65,12.46,4.17,5.45,4.64,2.46,2.55,4.52,2.89,97.36,2.49,28.16,99.97,0.03,6.20
3414,10.73,12.57,0.00,8.35,1.98,4.46,3.97,4.06,3.76,84.13,15.01,20.61,99.13,0.86,12.47
3484,10.11,11.90,0.00,5.81,3.17,2.05,1.92,4.50,2.59,97.48,2.11,12.22,99.98,0.02,3.34
3534,9.67,11.59,0.00,5.81,3.21,2.50,1.22,4.25,1.92,82.67,10.99,14.81,99.47,0.53,15.35
3565,9.29,11.39,2.94,7.51,2.89,3.67,2.63,4.17,3.02,77.09,16.27,29.82,97.13,2.87,15.81
3639,10.60,12.39,0.00,6.54,3.34,3.14,3.94,3.80,4.31,92.30,5.57,19.79,97.22,2.78,8.50
3664,10.82,12.70,0.00,7.26,3.21,3.36,3.84,4.25,3.86,96.02,3.81,33.71,99.85,0.15,7.82
